bucket,gsc_action,url,live_status,redirect_location,final_url,final_status,canonical,robots,priority,url_kind,recommended_action,canonical_slug,gsc_impressions,bing_impressions,gsc_position,note,error
01_request_indexing_now,URL Inspection > Request indexing,https://www.daily-life-hacks.com/protein-per-serving-beans-chicken-tofu-compared/,200,,https://www.daily-life-hacks.com/protein-per-serving-beans-chicken-tofu-compared/,200,https://www.daily-life-hacks.com/protein-per-serving-beans-chicken-tofu-compared/,"index, follow, max-image-preview:large, max-snippet:-1",P1,article,keep_review_for_content_depth,protein-per-serving-beans-chicken-tofu-compared,24,,20.75,"Restored impression-bearing URL is now 200, self-canonical, and indexable.",
01_request_indexing_now,URL Inspection > Request indexing,https://www.daily-life-hacks.com/how-to-quick-soak-dried-beans-same-day/,200,,https://www.daily-life-hacks.com/how-to-quick-soak-dried-beans-same-day/,200,https://www.daily-life-hacks.com/how-to-quick-soak-dried-beans-same-day/,"index, follow, max-image-preview:large, max-snippet:-1",P1,article,keep_review_for_content_depth,how-to-quick-soak-dried-beans-same-day,18,,77.5,"Restored impression-bearing URL is now 200, self-canonical, and indexable.",
01_request_indexing_now,URL Inspection > Request indexing,https://www.daily-life-hacks.com/how-to-preheat-skillet-even-browning/,200,,https://www.daily-life-hacks.com/how-to-preheat-skillet-even-browning/,200,https://www.daily-life-hacks.com/how-to-preheat-skillet-even-browning/,"index, follow, max-image-preview:large, max-snippet:-1",P1,article,keep_review_for_content_depth,how-to-preheat-skillet-even-browning,17,,15.12,"Restored impression-bearing URL is now 200, self-canonical, and indexable.",
01_request_indexing_now,URL Inspection > Request indexing,https://www.daily-life-hacks.com/keep-berries-fresh-longer-when-to-wash/,200,,https://www.daily-life-hacks.com/keep-berries-fresh-longer-when-to-wash/,200,https://www.daily-life-hacks.com/keep-berries-fresh-longer-when-to-wash/,"index, follow, max-image-preview:large, max-snippet:-1",P1,article,keep_review_for_content_depth,keep-berries-fresh-longer-when-to-wash,14,,23.93,"Restored impression-bearing URL is now 200, self-canonical, and indexable.",
01_request_indexing_now,URL Inspection > Request indexing,https://www.daily-life-hacks.com/how-to-pack-lunch-crisp-sandwiches-salads/,200,,https://www.daily-life-hacks.com/how-to-pack-lunch-crisp-sandwiches-salads/,200,https://www.daily-life-hacks.com/how-to-pack-lunch-crisp-sandwiches-salads/,"index, follow, max-image-preview:large, max-snippet:-1",P1,article,keep_review_for_content_depth,how-to-pack-lunch-crisp-sandwiches-salads,6,,37.83,"Restored impression-bearing URL is now 200, self-canonical, and indexable.",
01_request_indexing_now,URL Inspection > Request indexing,https://www.daily-life-hacks.com/plan-week-of-dinners-fewer-grocery-runs/,200,,https://www.daily-life-hacks.com/plan-week-of-dinners-fewer-grocery-runs/,200,https://www.daily-life-hacks.com/plan-week-of-dinners-fewer-grocery-runs/,"index, follow, max-image-preview:large, max-snippet:-1",P1,article,keep_review_for_content_depth,plan-week-of-dinners-fewer-grocery-runs,3,,2.67,"Restored impression-bearing URL is now 200, self-canonical, and indexable.",
02_request_indexing_optional_target,URL Inspection > Request indexing if quota remains,https://www.daily-life-hacks.com/oatmeal-vs-grits-fiber-content/,200,,https://www.daily-life-hacks.com/oatmeal-vs-grits-fiber-content/,200,https://www.daily-life-hacks.com/oatmeal-vs-grits-fiber-content/,"index, follow, max-image-preview:large, max-snippet:-1",P1,article,keep_review_for_content_depth,oatmeal-vs-grits-fiber-content,15,,24.33,Canonical destination for a high-impression alias redirect.,
02_request_indexing_optional_target,URL Inspection > Request indexing if quota remains,https://www.daily-life-hacks.com/costco-rotisserie-chicken-meal-ideas-dinner/,200,,https://www.daily-life-hacks.com/costco-rotisserie-chicken-meal-ideas-dinner/,200,https://www.daily-life-hacks.com/costco-rotisserie-chicken-meal-ideas-dinner/,"index, follow, max-image-preview:large, max-snippet:-1",P1,article,keep_review_for_content_depth,costco-rotisserie-chicken-meal-ideas-dinner,3,,10.0,Canonical destination for a high-impression alias redirect.,
02_request_indexing_optional_target,URL Inspection > Request indexing if quota remains,https://www.daily-life-hacks.com/easy-sourdough-discard-recipes-beginners/,200,,https://www.daily-life-hacks.com/easy-sourdough-discard-recipes-beginners/,200,https://www.daily-life-hacks.com/easy-sourdough-discard-recipes-beginners/,"index, follow, max-image-preview:large, max-snippet:-1",P2,article,optional_alias_target_request_indexing,easy-sourdough-discard-recipes-beginners,,,,Canonical destination for a high-impression alias redirect.,
03_validate_redirect_fix_in_gsc,Coverage issue > Validate fix when this URL appears in GSC,https://www.daily-life-hacks.com/high-fiber-fast-food-options-guide,301,https://www.daily-life-hacks.com/high-fiber-fast-food-options-guide/,https://www.daily-life-hacks.com/high-fiber-fast-food-options-guide/,200,https://www.daily-life-hacks.com/high-fiber-fast-food-options-guide/,"index, follow, max-image-preview:large, max-snippet:-1",P1,article,validate_current_301_to_canonical_url,high-fiber-fast-food-options-guide,116,,10.28,Live URL now redirects to the canonical target.,
