item_code	item_name
701111	Flour, white, all purpose, per lb. (453.6 gm)
701312	Rice, white, long grain, uncooked, per lb. (453.6 gm)
701322	Spaghetti and macaroni, per lb. (453.6 gm)
702111	Bread, white, pan, per lb. (453.6 gm)
702212	Bread, whole wheat, pan, per lb. (453.6 gm)
702421	Cookies, chocolate chip, per lb. (453.6 gm)
702611	Crackers, soda, salted, per lb. (453.6 gm)
703111	Ground chuck, 100% beef, per lb. (453.6 gm)
703112	Ground beef, 100% beef, per lb. (453.6 gm)
703113	Ground beef, lean and extra lean, per lb. (453.6 gm)
703213	Chuck roast, USDA Choice, boneless, per lb. (453.6 gm)
703311	Round roast, USDA Choice, boneless, per lb. (453.6 gm)
703425	Steak, rib eye, USDA Choice, boneless, per lb. (453.6 gm)
703432	Beef for stew, boneless, per lb. (453.6 gm)
703511	Steak, round, USDA Choice, boneless, per lb. (453.6 gm)
703613	Steak, sirloin, USDA Choice, boneless, per lb. (453.6 gm)
704111	Bacon, sliced, per lb. (453.6 gm)
704212	Chops, boneless, per lb. (453.6 gm)
704312	Ham, boneless, excluding canned, per lb. (453.6 gm)
704413	Shoulder picnic, bone-in, smoked, per lb. (453.6 gm)
704421	Sausage, fresh, loose, per lb. (453.6 gm)
705111	Frankfurters, all meat or all beef, per lb. (453.6 gm)
705121	Bologna, all beef or mixed, per lb. (453.6 gm)
705142	Lamb and mutton, bone-in, per lb. (453.6 gm)
706111	Chicken, fresh, whole, per lb. (453.6 gm)
706211	Chicken breast, bone-in, per lb. (453.6 gm)
706212	Chicken legs, bone-in, per lb. (453.6 gm)
706311	Turkey, frozen, whole, per lb. (453.6 gm)
707111	Tuna, light, chunk, per lb. (453.6 gm)
708111	Eggs, grade A, large, per doz.
709112	Milk, fresh, whole, fortified, per gal. (3.8 lit)
709213	Milk, fresh, low fat, per gal. (3.8 lit)
710111	Butter, salted, grade AA, stick, per lb. (453.6 gm)
710122	Yogurt, natural, fruit flavored, per 8 oz. (226.8 gm)
710211	American processed cheese, per lb. (453.6 gm)
710212	Cheddar cheese, natural, per lb. (453.6 gm)
711111	Apples, Red Delicious, per lb. (453.6 gm)
711211	Bananas, per lb. (453.6 gm)
711311	Oranges, Navel, per lb. (453.6 gm)
711412	Lemons, per lb. (453.6 gm)
711413	Pears, Anjou, per lb. (453.6 gm)
711414	Peaches, per lb. (453.6 gm)
711415	Strawberries, dry pint, per 12 oz. (340.2 gm)
711417	Grapes, Thompson Seedless, per lb. (453.6 gm)
712112	Potatoes, white, per lb. (453.6 gm)
712211	Lettuce, iceberg, per lb. (453.6 gm)
712311	Tomatoes, field grown, per lb. (453.6 gm)
712401	Cabbage, per lb. (453.6 gm)
712402	Celery, per lb. (453.6 gm)
712403	Carrots, short trimmed and topped, per lb. (453.6 gm)
712404	Onions, dry yellow, per lb. (453.6 gm)
712406	Peppers, sweet, per lb. (453.6 gm)
712409	Cucumbers, per lb. (453.6 gm)
712412	Broccoli, per lb. (453.6 gm)
713311	Apple Sauce, any variety, all sizes, per lb. (453.6 gm)
714111	Potatoes, frozen, French fried, per lb. (453.6 gm)
714221	Corn, canned, any style, all sizes, per lb. (453.6 gm)
714231	Tomatoes, canned, whole, per lb. (453.6 gm)
714233	Beans, dried, any type, all sizes, per lb. (453.6 gm)
715211	Sugar, white, all sizes, per lb. (453.6 gm)
716141	Peanut butter, creamy, all sizes, per lb. (453.6 gm)
718311	Potato chips, per 16 oz.
718631	Pork and beans, canned (cost per 16 ounces/453.6 grams)
FF1101	Chicken breast, boneless, per lb. (453.6 gm)
FJ4101	Yogurt, per 8 oz. (226.8 gm)
FL2101	Lettuce, romaine, per lb. (453.6 gm)
FS1101	Butter, stick, per lb. (453.6 gm)
