rank,food,category,fiber_g_per_100g,package,package_price_usd,package_weight_g,edible_fraction,price_per_100g_usd,fiber_g_per_dollar,price_basis,nutrition_source_status,nutrition_source_type,nutrition_source_id,nutrition_source_url,nutrition_source_description,nutrition_source_form,nutrition_source_note
1,Whole wheat flour,Whole grains,10.7,5 lb bag,3.12,2268,1.0,0.138,77.8,Walmart GV,exact,USDA FoodData Central SR Legacy,FDC 168893,https://api.nal.usda.gov/fdc/v1/food/168893?api_key=DEMO_KEY,"Wheat flour, whole-grain (Includes foods for USDA's Food Distribution Program)",Whole-grain flour,
2,Green split peas (dry),Dried beans & peas,22.2,16 oz bag,1.42,454,1.0,0.313,71.0,Walmart GV,exact,USDA FoodData Central SR Legacy,FDC 172428,https://api.nal.usda.gov/fdc/v1/food/172428?api_key=DEMO_KEY,"Peas, green, split, mature seeds, raw","Mature seeds, raw",
3,Pearled barley (dry),Whole grains,15.6,16 oz bag,1.24,454,1.0,0.273,57.1,Walmart GV,exact,USDA FoodData Central SR Legacy,FDC 170284,https://api.nal.usda.gov/fdc/v1/food/170284?api_key=DEMO_KEY,"Barley, pearled, raw","Pearled, raw",
4,Popcorn kernels,Whole grains,12.9,2 lb bag,2.28,907,1.0,0.251,51.3,Walmart GV,unresolved,Unresolved,,,,Not resolved,"NOT TIED TO A PUBLISHED RECORD. USDA publishes no SR Legacy or Foundation entry for unpopped popcorn kernels; all 17 popcorn records in those data types are popped or prepared forms. The 12.9 g per 100 g here is DERIVED, not quoted: USDA FDC 167959 (Snacks, popcorn, air-popped) gives 14.5 g per 100 g of popped corn, which is converted to an as-sold kernel basis using the moisture difference between kernels and popped corn. Sensitivity band 12.8 to 13.0 g per 100 g; rank 7 across the whole band. Treat it as our calculation, not as a USDA figure."
5,Pinto beans (dry),Dried beans & peas,15.5,4 lb bag,6.75,1814,1.0,0.372,41.7,BLS US avg July 2026 (APU0000714233),exact,USDA FoodData Central SR Legacy,FDC 175199,https://api.nal.usda.gov/fdc/v1/food/175199?api_key=DEMO_KEY,"Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)","Mature seeds, raw",
6,Black beans (dry),Dried beans & peas,15.5,2 lb bag,3.38,907,1.0,0.373,41.6,BLS US avg July 2026 (APU0000714233),exact,USDA FoodData Central SR Legacy,FDC 173734,https://api.nal.usda.gov/fdc/v1/food/173734?api_key=DEMO_KEY,"Beans, black, mature seeds, raw","Mature seeds, raw",
7,Navy beans (dry),Dried beans & peas,15.3,2 lb bag,3.38,907,1.0,0.373,41.1,BLS US avg July 2026 (APU0000714233),exact,USDA FoodData Central SR Legacy,FDC 173745,https://api.nal.usda.gov/fdc/v1/food/173745?api_key=DEMO_KEY,"Beans, navy, mature seeds, raw","Mature seeds, raw",
8,Old-fashioned rolled oats,Whole grains,10.1,42 oz canister,3.36,1191,1.0,0.282,35.8,Walmart GV,exact,USDA FoodData Central SR Legacy,FDC 173904,https://api.nal.usda.gov/fdc/v1/food/173904?api_key=DEMO_KEY,"Cereals, oats, regular and quick, not fortified, dry","Regular or quick oats, dry",
9,Whole wheat spaghetti,Whole grains,9.2,16 oz box,1.18,454,1.0,0.26,35.4,Walmart GV,exact,USDA FoodData Central SR Legacy,FDC 169738,https://api.nal.usda.gov/fdc/v1/food/169738?api_key=DEMO_KEY,"Pasta, whole-wheat, dry (Includes foods for USDA's Food Distribution Program)","Whole-wheat pasta, dry",
10,Canned black beans,Canned,6.9,15.5 oz can,0.88,439,1.0,0.2,34.4,Walmart GV,proxy,USDA FoodData Central SR Legacy,FDC 175188,https://api.nal.usda.gov/fdc/v1/food/175188?api_key=DEMO_KEY,"Beans, black turtle, mature seeds, canned","Mature seeds, canned, undrained (solids and liquids)","The row prices the whole 15.5 oz can (439 g net) at edible_fraction 1.0, so the undrained solids-and-liquids basis is the only arithmetically coherent match, the same convention already used for Canned kidney beans. FDC 175188 is undrained: its water 75.6 g and protein 6.03 g/100 g sit below the drained-and-rinsed Foundation record FDC 2644285 (water 70.8 g, protein 6.91 g). The previous 5.6 value matched no official record. USDA's only canned black bean records, FDC 175188 and the low-sodium FDC 175238, both publish 6.9 g/100 g. Flagged proxy because USDA names the record by the black turtle cultivar rather than generically, and the undrained basis is inferred from the record's water and protein rather than stated in its description. The form-matched Foundation record FDC 2644285 publishes no dietary fiber value at all and so cannot support this row."
11,Chickpeas (dry),Dried beans & peas,12.2,16 oz bag,1.64,454,1.0,0.361,33.8,Walmart,exact,USDA FoodData Central SR Legacy,FDC 173756,https://api.nal.usda.gov/fdc/v1/food/173756?api_key=DEMO_KEY,"Chickpeas (garbanzo beans, bengal gram), mature seeds, raw","Mature seeds, raw",
12,Brown lentils (dry),Dried beans & peas,10.7,16 oz bag,1.44,454,1.0,0.317,33.7,Walmart GV,exact,USDA FoodData Central SR Legacy,FDC 172420,https://api.nal.usda.gov/fdc/v1/food/172420?api_key=DEMO_KEY,"Lentils, raw",Raw,
13,Chia seeds,Nuts & seeds,34.4,32 oz bag,9.44,907,1.0,1.041,33.1,Walmart GV,exact,USDA FoodData Central SR Legacy,FDC 170554,https://api.nal.usda.gov/fdc/v1/food/170554?api_key=DEMO_KEY,"Seeds, chia seeds, dried",Dried,
14,Bran flakes cereal,Whole grains,18.3,17.3 oz box,2.98,490,1.0,0.608,30.1,Walmart GV,proxy,USDA FoodData Central SR Legacy,FDC 173888,https://api.nal.usda.gov/fdc/v1/food/173888?api_key=DEMO_KEY,"Cereals ready-to-eat, POST Bran Flakes",Ready-to-eat POST Bran Flakes,"The 18.3 g fiber per 100 g is from a brand-specific POST record, while the priced cereal was Great Value. USDA publishes no generic bran-flakes record, and fiber in bran flakes varies by brand formulation, so the brand substitution keeps this a proxy."
15,Whole flaxseed,Nuts & seeds,27.3,22 oz bag,5.98,624,1.0,0.958,28.5,Walmart,exact,USDA FoodData Central SR Legacy,FDC 169414,https://api.nal.usda.gov/fdc/v1/food/169414?api_key=DEMO_KEY,"Seeds, flaxseed",Flaxseed,
16,Red lentils (dry),Dried beans & peas,10.8,16 oz bag,1.94,454,1.0,0.427,25.3,Walmart,exact,USDA FoodData Central SR Legacy,FDC 174284,https://api.nal.usda.gov/fdc/v1/food/174284?api_key=DEMO_KEY,"Lentils, pink or red, raw",Raw,
17,Bulgur wheat (dry),Whole grains,12.5,24 oz bag,3.49,680,1.0,0.513,24.4,Walmart,exact,USDA FoodData Central SR Legacy,FDC 170688,https://api.nal.usda.gov/fdc/v1/food/170688?api_key=DEMO_KEY,"Bulgur, dry",Dry,
18,Oat bran (dry),Whole grains,15.4,18 oz bag,3.49,510,1.0,0.684,22.5,Walmart,exact,USDA FoodData Central SR Legacy,FDC 168872,https://api.nal.usda.gov/fdc/v1/food/168872?api_key=DEMO_KEY,"Oat bran, raw",Raw,
19,Canned chickpeas,Canned,4.4,15.5 oz can,0.98,439,1.0,0.223,19.7,Walmart GV,exact,USDA FoodData Central SR Legacy,FDC 175206,https://api.nal.usda.gov/fdc/v1/food/175206?api_key=DEMO_KEY,"Chickpeas (garbanzo beans, bengal gram), mature seeds, canned, solids and liquids","Mature seeds, canned, solids and liquids","The row prices the whole 15.5 oz can (439 g net) at edible_fraction 1.0, so the solids-and-liquids record is the correct basis; the drained records FDC 173800 (6.4) and FDC 173801 (6.3) apply to a drained weight the row does not use. The previous 4.8 value matched no official record. The form-matched Foundation record FDC 2644288 publishes no dietary fiber value at all and so cannot support this row."
20,Canned kidney beans,Canned,4.3,15.5 oz can,0.98,439,1.0,0.223,19.3,Walmart GV,exact,USDA FoodData Central SR Legacy,FDC 173741,https://api.nal.usda.gov/fdc/v1/food/173741?api_key=DEMO_KEY,"Beans, kidney, all types, mature seeds, canned","All types, mature seeds, canned",
21,Frozen green peas,Frozen vegetables,4.5,32 oz bag,2.32,907,1.0,0.256,17.6,Walmart GV,exact,USDA FoodData Central SR Legacy,FDC 170016,https://api.nal.usda.gov/fdc/v1/food/170016?api_key=DEMO_KEY,"Peas, green, frozen, unprepared (Includes foods for USDA's Food Distribution Program)","Frozen, unprepared",
22,Brown rice (dry),Whole grains,3.6,2 lb bag,1.87,907,1.0,0.206,17.5,Walmart GV,exact,USDA FoodData Central SR Legacy,FDC 169703,https://api.nal.usda.gov/fdc/v1/food/169703?api_key=DEMO_KEY,"Rice, brown, long-grain, raw (Includes foods for USDA's Food Distribution Program)","Long-grain, raw",
