slug,url,title,category,date,word_count,h2_count,faq_count,external_citation_count,in_sitemap,outbound_article_links,inbound_article_links,gsc_clicks_3m,gsc_impressions_3m,gsc_position,bing_clicks,bing_impressions,bing_backlinks,zero_search_evidence,recovery_cohort,closest_intent_slug,duplicate_intent_score,strong_duplicate_intent,objectively_thin,superior_target,decision,decision_reason
30-day-high-fiber-challenge-meal-plan,https://www.daily-life-hacks.com/30-day-high-fiber-challenge-meal-plan/,30 Day High Fiber Challenge Meal Plan,nutrition,2026-02-06,1105,10,5,2,YES,4,2,0,1,10.00,0,5,0,NO,NO,high-fiber-burrito-bowl-meal-prep,0.25,NO,NO,NO,KEEP,Freeze: no proven duplicate (best score 0.25); not objectively thin (1105 words < 700; 10 H2s; 2 external citations); has GSC or Bing search/link evidence; no demonstrably superior target (942 words vs 1105; 15 vs 2 inbound article links; search score 0 vs 6).
add-flavor-without-more-sugar-tricks,https://www.daily-life-hacks.com/add-flavor-without-more-sugar-tricks/,"Add Flavor Without Sugar: Cinnamon, Vanilla, Citrus, Cocoa",nutrition,2026-04-16,871,5,5,0,YES,3,5,0,3,5.67,0,0,0,NO,NO,,0.00,NO,NO,NO,KEEP,Freeze: no proven duplicate (best score 0.00); not objectively thin (871 words < 700; 5 H2s; 0 external citations); has GSC or Bing search/link evidence; no demonstrably superior target (none).
air-fryer-salmon-bites-garlic-honey-glaze,https://www.daily-life-hacks.com/air-fryer-salmon-bites-garlic-honey-glaze/,Air Fryer Salmon Bites With Garlic Honey Glaze,recipes,2026-04-08,869,6,5,0,YES,3,3,0,2,77.00,0,0,0,NO,NO,,0.00,NO,NO,NO,KEEP,Freeze: no proven duplicate (best score 0.00); not objectively thin (869 words < 450; 6 H2s; 0 external citations); has GSC or Bing search/link evidence; no demonstrably superior target (none).
aldi-shopping-hacks-large-family-meals,https://www.daily-life-hacks.com/aldi-shopping-hacks-large-family-meals/,Aldi Shopping Hacks for Large Family Meals,tips,2026-04-28,925,5,4,0,YES,4,3,0,6,38.00,0,0,0,NO,NO,freezer-organization-tips-large-family-meals,0.33,NO,NO,NO,KEEP,Freeze: no proven duplicate (best score 0.33); not objectively thin (925 words < 700; 5 H2s; 0 external citations); has GSC or Bing search/link evidence; no demonstrably superior target (1112 words vs 925; 2 vs 3 inbound article links; search score 1 vs 6).
amaranth-millet-teff-beginner-cooking-guide,https://www.daily-life-hacks.com/amaranth-millet-teff-beginner-cooking-guide/,"Amaranth, Millet, and Teff: A Beginner Cooking Guide",nutrition,2026-04-08,854,5,5,0,YES,3,3,0,0,,0,11,0,NO,NO,,0.00,NO,NO,NO,KEEP,Freeze: no proven duplicate (best score 0.00); not objectively thin (854 words < 700; 5 H2s; 0 external citations); has GSC or Bing search/link evidence; no demonstrably superior target (none).
animal-protein-per-dollar-ranked,https://www.daily-life-hacks.com/animal-protein-per-dollar-ranked/,The Cheapest Animal Protein: 21 Foods Ranked by Cost,nutrition,2026-07-13,955,5,5,0,YES,12,10,0,0,,0,1,0,NO,NO,protein-per-dollar-cheapest-protein-sources,0.56,NO,NO,YES,KEEP,Freeze: no proven duplicate (best score 0.56); not objectively thin (955 words < 700; 5 H2s; 0 external citations); has GSC or Bing search/link evidence.
artichoke-recipes-for-gut-health,https://www.daily-life-hacks.com/artichoke-recipes-for-gut-health/,How to Steam Artichokes With Lemon-Garlic Dip,recipes,2026-01-22,956,6,5,1,YES,3,3,0,0,,0,0,0,YES,NO,,0.00,NO,NO,NO,KEEP,Freeze: no proven duplicate (best score 0.00); not objectively thin (956 words < 450; 6 H2s; 1 external citations); no demonstrably superior target (none).
baked-cod-lemon-capers-green-beans,https://www.daily-life-hacks.com/baked-cod-lemon-capers-green-beans/,"Baked Cod With Lemon, Capers, and Green Beans (15-Min Prep)",recipes,2026-04-08,932,6,5,0,YES,3,2,0,0,,0,3,0,NO,NO,,0.00,NO,NO,NO,KEEP,Freeze: no proven duplicate (best score 0.00); not objectively thin (932 words < 450; 6 H2s; 0 external citations); has GSC or Bing search/link evidence; no demonstrably superior target (none).
baking-sheet-liners-parchment-silicone-when-to-use,https://www.daily-life-hacks.com/baking-sheet-liners-parchment-silicone-when-to-use/,Baking Sheet Liners: Parchment vs Silicone Mats,tips,2026-04-08,851,4,5,0,YES,4,3,0,35,23.06,1,10,0,NO,NO,,0.00,NO,NO,NO,KEEP,Freeze: no proven duplicate (best score 0.00); not objectively thin (851 words < 700; 4 H2s; 0 external citations); has GSC or Bing search/link evidence; no demonstrably superior target (none).
balanced-breakfast-that-keeps-you-full,https://www.daily-life-hacks.com/balanced-breakfast-that-keeps-you-full/,How to Build a Balanced Breakfast That Holds You Over,nutrition,2026-04-08,843,6,5,0,YES,5,6,0,0,,0,0,0,YES,NO,,0.00,NO,NO,NO,KEEP,Freeze: no proven duplicate (best score 0.00); not objectively thin (843 words < 700; 6 H2s; 0 external citations); no demonstrably superior target (none).
