prospect_id,priority,organization,contact_name,segment,relevance_url,contact_route,contact_url,asset,angle,attainability,status,sent_at,followup_due,response_status,earned_link_url,notes
FB-001,P0,Iowa State University Spend Smart Eat Smart,Editorial team,Extension education,https://spendsmart.extension.iastate.edu/,foodsavings@iastate.edu,https://spendsmart.extension.iastate.edu/about-app/,fiber-per-dollar dataset,"Offer the open 53-food dataset as a classroom and grocery-budget resource",5,researched,,,,,,"Their site explicitly focuses on eating well on a tight grocery budget"
FB-002,P0,Utah State University Create Better Health,Kristi Strongo,Extension education,https://extension.usu.edu/createbetterhealth/blog/menuplan,kristi.strongo@usu.edu,https://extension.usu.edu/foodsense/contact-us,fiber-per-dollar dataset,"Offer a printable value table for budget nutrition lessons",5,researched,,,,,,"Contact page lists curriculum and education coordinator"
FB-003,P0,The Food Trust,Online Learning Hub team,Community nutrition,https://learning.thefoodtrust.org/about/,contact@thefoodtrust.org,https://learning.thefoodtrust.org/about/,budget fiber guide,"Suggest the data table as an optional external resource for affordability lessons",5,researched,,,,,,"Hub invites suggestions for improving its nutrition education site"
FB-004,P0,Oldways Whole Grains Council,Education team,Food education,https://wholegrainscouncil.org/resources/school-lesson-plans-and-educational-materials/educational-materials,info@oldwayspt.org,https://wholegrainscouncil.org/resources/school-lesson-plans-and-educational-materials/educational-materials,fiber-per-dollar dataset,"Share the whole-grain rows and downloadable source table",5,researched,,,,,,"Their page curates educational materials for teachers and dietitians"
FB-005,P0,USA Pulses,Resources team,Commodity education,https://usapulses.org/resources/,contact form,https://usapulses.org/contact/get-in-touch/,fiber-per-dollar dataset,"Share audited cost rankings for dry peas lentils chickpeas and beans",5,researched,,,,,,"Resource library serves health professionals schools and foodservice"
FB-006,P0,National CACFP Association,Nutrition education team,Child nutrition education,https://www.cacfp.org/2025/02/12/nutrition-basics-fiber/,nca@cacfp.org,https://www.cacfp.org/2025/02/12/nutrition-basics-fiber/,fiber-per-dollar dataset,"Offer cost-per-fiber data as a companion to the existing fiber resource",4,researched,,,,,,"Existing resource already lists many foods in the dataset"
FB-007,P0,The Kitchn,Groceries editorial team,Consumer food media,https://www.thekitchn.com/about/about-us,editorial@thekitchn.com,https://www.thekitchn.com/about/about-us,one-dollar-fiber study,"Pitch a service story on what one grocery dollar buys across 15 pantry foods",4,researched,,,,,,"Editorial page explicitly accepts pitches and covers smart grocery shopping"
FB-008,P0,Grocery Dive,Catherine Douglas Moran,Grocery trade media,https://www.grocerydive.com/editors/cdouglasmoran/,cdouglasmoran@industrydive.com,https://www.grocerydive.com/editors/cdouglasmoran/,fiber-per-dollar dataset,"Data tip on the value gap between dry goods fresh produce and private-label staples",4,researched,,,,,,"Beat includes SNAP policy discount grocers and consumer grocery stress"
FB-009,P0,Grocery Dive,Peyton Bigora,Grocery trade media,https://www.grocerydive.com/users/pbigora/,pbigora@industrydive.com,https://www.grocerydive.com/users/pbigora/,fiber-per-dollar dataset,"Data tip for grocery health-and-wellness and value coverage",4,researched,,,,,,"Beat includes grocery health and wellness"
FB-010,P0,Progressive Grocer,Gina Acosta,Grocery trade media,https://progressivegrocer.com/newsletter,gacosta@ensembleiq.com,https://progressivegrocer.com/newsletter,fiber-per-dollar dataset,"Offer a consumer-value data point for retailer value messaging",4,researched,,,,,,"Editor contact is published and 2026 coverage emphasizes value"
