local_path,matched_canonical,combined_score,phash_distance,confidence
C:\Users\offic\Desktop\dlh-fresh\publer published\69aaeb10bda96b9fac34ab80.jpg,tabbouleh-salad-high-fiber-bulgur_v2.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69aaeb10bda96b9fac34ab83.jpg,best-way-to-store-avocados-to-stop-browning_v1.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69aaeb11bda96b9fac34ab87.jpg,gut-health-tea-peppermint-ginger_v3.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69aaeb11bda96b9fac34ab8b.jpg,grocery-shopping-list-for-healthy-eating-on-a-budget_v4.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69aaeb3ebda96b9fac34abe6.jpg,artichoke-recipes-for-gut-health_v2.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1b30b9caca61147afed.jpg,artichoke-recipes-for-gut-health_v2.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1b40b9caca61147afef.jpg,tabbouleh-salad-high-fiber-bulgur_v2.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1b40b9caca61147aff1.jpg,best-way-to-store-avocados-to-stop-browning_v1.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1b40b9caca61147aff3.jpg,gut-health-tea-peppermint-ginger_v3.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1b40b9caca61147aff5.jpg,grocery-shopping-list-for-healthy-eating-on-a-budget_v4.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1b50b9caca61147aff7.jpg,high-fiber-salad-dressings-homemade_v2.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1b50b9caca61147aff9.jpg,how-to-revive-wilted-lettuce-and-greens_v2.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1b50b9caca61147affb.jpg,high-protein-high-fiber-meals-for-weight-loss_v4.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1b50b9caca61147affd.jpg,how-to-store-fresh-herbs-to-last-longer_v1.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1b60b9caca61147b001.jpg,batch-cooking-for-beginners-weekly-guide_v4.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1b60b9caca61147b003.jpg,oatmeal-vs-grits-fiber-content_v3.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1b60b9caca61147b005.jpg,high-fiber-bran-muffins-that-taste-good_v1.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1b70b9caca61147b007.jpg,how-to-meal-prep-on-a-budget-for-one-person_v1.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1b70b9caca61147b009.jpg,easy-high-fiber-breakfast-ideas-for-gut-health_v1.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1b80b9caca61147b00d.jpg,high-fiber-yogurt-parfait-for-breakfast_v1.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1b80b9caca61147b00f.jpg,how-to-meal-prep-on-a-budget-for-one-person_v3.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1b80b9caca61147b011.jpg,high-fiber-fast-food-options-guide_v3.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1b80b9caca61147b013.jpg,split-pea-soup-recipe-high-fiber_v1.jpg,1,2,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1b90b9caca61147b015.jpg,how-to-reduce-food-waste-at-home-easy-tips_v4.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1b90b9caca61147b017.jpg,pear-salad-with-walnuts-fiber-rich_v3.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1ba0b9caca61147b01d.jpg,whole-wheat-vs-white-pasta-fiber_v1.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1ba0b9caca61147b01f.jpg,how-to-meal-prep-on-a-budget-for-one-person_v4.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1bb0b9caca61147b021.jpg,how-to-store-fruits-and-vegetables-properly_v1.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1bb0b9caca61147b023.jpg,how-to-make-grocery-shopping-cheaper_v4.jpg,1,2,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1bb0b9caca61147b027.jpg,freezer-meal-prep-ideas-for-beginners_v4.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1bc0b9caca61147b02b.jpg,high-fiber-stir-fry-vegetables_v2.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1bc0b9caca61147b02f.jpg,chia-pudding-variations-for-breakfast_v1.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1bd0b9caca61147b031.jpg,split-pea-soup-recipe-high-fiber_v4.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1bd0b9caca61147b033.jpg,high-fiber-cauliflower-rice-recipes_v3.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1bd0b9caca61147b036.jpg,how-to-organize-a-small-kitchen-on-a-budget_v4.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1be0b9caca61147b03e.jpg,artichoke-recipes-for-gut-health_v4.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1bf0b9caca61147b045.jpg,high-fiber-hummus-recipe-homemade_v2.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1bf0b9caca61147b049.jpg,how-to-store-fresh-herbs-to-last-longer_v3.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1c00b9caca61147b04d.jpg,water-and-fiber-the-golden-rule_v4.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1c00b9caca61147b04f.jpg,popcorn-vs-potato-chips-fiber-comparison_v2.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1c10b9caca61147b053.jpg,vegan-high-fiber-meal-prep-for-week_v2.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1c10b9caca61147b055.jpg,whole-wheat-vs-white-pasta-fiber_v3.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1c10b9caca61147b057.jpg,best-way-to-store-avocados-to-stop-browning_v2.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1c20b9caca61147b05b.jpg,how-to-keep-bread-fresh-longer-without-mold_v4.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1c20b9caca61147b05d.jpg,how-to-read-nutrition-labels-for-beginners_v1.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1c30b9caca61147b063.jpg,artichoke-recipes-for-gut-health_v1.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1c40b9caca61147b06b.jpg,high-fiber-stir-fry-vegetables_v3.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1c40b9caca61147b06d.jpg,split-pea-soup-recipe-high-fiber_v3.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1c40b9caca61147b073.jpg,how-to-revive-wilted-lettuce-and-greens_v4.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1c50b9caca61147b077.jpg,30-day-high-fiber-challenge-meal-plan_v1.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1c60b9caca61147b07f.jpg,how-to-store-fruits-and-vegetables-properly_v4.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1c60b9caca61147b082.jpg,how-to-revive-wilted-lettuce-and-greens_v1.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1c60b9caca61147b084.jpg,high-fiber-stir-fry-vegetables_v1.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1c70b9caca61147b08b.jpg,how-to-freeze-bananas-for-smoothies_v4.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1c70b9caca61147b08d.jpg,high-fiber-popcorn-toppings-healthy_v2.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1c80b9caca61147b093.jpg,chia-pudding-variations-for-breakfast_v3.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1c90b9caca61147b097.jpg,how-to-organize-a-small-kitchen-on-a-budget_v1.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1c90b9caca61147b099.jpg,high-fiber-pizza-crust-cauliflower_v4.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1cb0b9caca61147b0a5.jpg,how-to-freeze-bananas-for-smoothies_v2.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1cb0b9caca61147b0a9.jpg,how-to-organize-a-small-kitchen-on-a-budget_v2.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1cc0b9caca61147b0af.jpg,how-to-freeze-bananas-for-smoothies_v1.jpg,2,2,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1ce0b9caca61147b0c2.jpg,whole-wheat-vs-white-pasta-fiber_v4.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1cf0b9caca61147b0c6.jpg,best-way-to-store-avocados-to-stop-browning_v3.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1cf0b9caca61147b0ca.jpg,how-to-store-fruits-and-vegetables-properly_v2.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1d00b9caca61147b0d2.jpg,black-bean-brownies-hidden-fiber-dessert_v3.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1d10b9caca61147b0d8.jpg,high-fiber-stir-fry-vegetables_v4.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1d10b9caca61147b0da.jpg,chia-pudding-variations-for-breakfast_v2.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1d20b9caca61147b0dc.jpg,whole-wheat-vs-white-pasta-fiber_v2.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1d40b9caca61147b0ed.jpg,how-to-read-nutrition-labels-for-beginners_v3.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1d40b9caca61147b0f1.jpg,how-to-store-fresh-herbs-to-last-longer_v2.jpg,0,0,high
C:\Users\offic\Desktop\dlh-fresh\publer published\69b1c1d60b9caca61147b101.jpg,best-way-to-store-avocados-to-stop-browning_v4.jpg,0,0,high
