day,meal,food,grams_used,protein_g,cost_usd,basis
Day 1: Rock-bottom dry goods,Breakfast,"Rolled oats, 60g dry (2/3 cup)",60,7.9,0.17,parent CSV: Old-fashioned rolled oats
Day 1: Rock-bottom dry goods,Lunch,Split pea soup from 60g dry split peas (1/3 cup),60,13.9,0.19,parent CSV: Green split peas (dry)
Day 1: Rock-bottom dry goods,Dinner,"Pinto beans, 90g dry (1/2 cup)",90,19.3,0.20,parent CSV: Pinto beans (dry)
Day 1: Rock-bottom dry goods,Dinner,"Brown rice, 60g dry (1/3 cup)",60,4.5,0.12,parent CSV: Brown rice (dry)
Day 1: Rock-bottom dry goods,Snack,"Peanut butter, 32g (2 tbsp)",32,7.1,0.14,parent CSV: Peanut butter
Day 2: No-cook convenience,Breakfast,"Greek yogurt (plain nonfat), 170g (single-serve tub)",170,17.3,0.63,parent CSV: Greek yogurt (plain nonfat)
Day 2: No-cook convenience,Lunch,"Canned tuna, 1 can (113g drained)",113,22.0,0.98,parent CSV: Canned tuna (chunk light in water)
Day 2: No-cook convenience,Lunch,"Whole wheat bread, 2 slices (52g)",52,6.5,0.18,parent CSV: 100% whole wheat bread
Day 2: No-cook convenience,Snack,"Whole milk, 1 cup (244g)",244,7.7,0.26,parent CSV: Whole milk
Day 3: Meat-eater cook day,Breakfast,"2 large eggs (100g)",100,12.6,0.37,parent CSV: Eggs (large)
Day 3: Meat-eater cook day,Lunch,"Chicken breast, 100g raw (3.5 oz)",100,22.5,0.92,parent CSV: Chicken breast (boneless skinless)
Day 3: Meat-eater cook day,Dinner,"Ground beef 80/20, 100g (3.5 oz)",100,17.2,1.49,parent CSV: Ground beef (80/20)
Day 4: Restaurant day,Breakfast,McDonald's Egg McMuffin,,17.0,3.79,McDonald's official nutrition + typical July 2026 US menu price
Day 4: Restaurant day,Lunch,McDonald's McDouble,,22.0,3.19,McDonald's official nutrition + typical July 2026 US menu price
Day 4: Restaurant day,Dinner,McDonald's McChicken,,14.0,2.99,McDonald's official nutrition + typical July 2026 US menu price
Day 5: Realistic mixed,Breakfast,"2 large eggs (100g)",100,12.6,0.37,parent CSV: Eggs (large)
Day 5: Realistic mixed,Lunch,"Peanut butter, 32g (2 tbsp)",32,7.1,0.14,parent CSV: Peanut butter
Day 5: Realistic mixed,Lunch,"Whole wheat bread, 2 slices (52g)",52,6.5,0.18,parent CSV: 100% whole wheat bread
Day 5: Realistic mixed,Dinner,"Canned black beans, 1/2 can (220g)",220,13.3,0.44,parent CSV: Canned black beans
Day 5: Realistic mixed,Dinner,"Brown rice, 60g dry (1/3 cup)",60,4.5,0.12,parent CSV: Brown rice (dry)
Day 5: Realistic mixed,Drink,"Whole milk, 1 cup (244g)",244,7.7,0.26,parent CSV: Whole milk
