slug,variant,pin_title,description,alt_text,board,destination_url
cheap-crockpot-meals-large-families,5,"8 Hours on Low, One Bag of Dried Beans, 8 Bowls of Dinner","Two pounds of dried pinto beans, a pound of smoked sausage, and 8 to 10 hours on low. That's dinner for 8 out of one slow cooker, at about 420 calories a bowl. Cheap crockpot meals for large families work because the crockpot doesn't care that the beans came from a bag instead of a can.","Cream text pin reading 8 hours on low, one bag of dried beans, 8 bowls of dinner, over a line about cheap crockpot meals for large families.",Cheap Meals for Large Families,https://www.daily-life-hacks.com/eight-hours-low-eight-bowls
cheap-crockpot-meals-large-families,6,Pork Shoulder Under $2 a Pound Turns Into Three Different Dinners,"If pork shoulder is under two dollars a pound, buy two. One roast becomes pulled pork on Monday, carnitas on Tuesday, and a pork heavy stew on Wednesday. It's almost impossible to overcook, which is why it anchors cheap crockpot meals for large families.","Dark text pin reading pork shoulder under $2 a pound turns into three dinners, with a note about pulled pork, carnitas and stew.",Cheap Meals for Large Families,https://www.daily-life-hacks.com/pork-shoulder-three-dinners-row
cheap-crockpot-meals-large-families,7,Salt the Beans at the End or You Get Gravel,"Salt early and bean skins can toughen up on you. Rinse the dried beans, pick out the tiny rocks that end up in every bag, and season only once they're soft. A bag of dried pinto beans costs next to nothing and swells to three times its size, which is the whole engine behind cheap meals for large families.","Orange text pin reading salt the beans at the end or you get gravel, with a line noting dried beans swell to three times their size.",Cheap Meals for Large Families,https://www.daily-life-hacks.com/salt-beans-end-not-start
cheap-crockpot-meals-large-families,8,A Gallon of Chili and Ten People? Serve It Over Baked Potatoes,"The secret to feeding a crowd isn't more meat, it's what goes underneath it. Chili over baked potatoes, stew over a big pot of rice, brown rice or extra root vegetables folded into the pot. Cheap crockpot meals for large families are about volume, heat, and enough seasoning to make a five pound bag of potatoes taste like a luxury.","Cream text pin asking what to do with a gallon of chili and ten people, answering serve it over baked potatoes.",Cheap Meals for Large Families,https://www.daily-life-hacks.com/chili-over-baked-potatoes-stretch
cheap-ground-beef-meals-large-families,5,A 50/50 Ratio of Beef to Filler Feeds Twice the Table,Aim for half meat and half everything else. One bite of potato for every bite of beef fills people up faster and keeps the grocery bill from hitting triple digits before Tuesday. It's the cheapest ground beef move for large families and nobody at the table notices.,Dark text pin reading a 50/50 ratio of beef to filler feeds twice the table.,Cheap Meals for Large Families,https://www.daily-life-hacks.com/fifty-fifty-beef-filler-ratio
cheap-ground-beef-meals-large-families,6,Don't Let the 73/27 Ground Beef Label Scare You Off,"The cheapest ground beef is usually the stuff with the highest fat percentage. You're going to drain most of that anyway, or better yet, use it to cook your vegetables. Cheap ground beef meals for large families start in the aisle everybody walks past.","Cream text pin about the 73/27 ground beef label, with a support line saying you are draining most of that fat anyway.",Cheap Meals for Large Families,https://www.daily-life-hacks.com/seventy-three-twenty-seven-beef
cheap-ground-beef-meals-large-families,7,Freeze Ground Beef in Flat One Pound Squares. They Thaw in 20 Minutes,"Flat squares thaw in about twenty minutes in a sink of warm water, which is a lifesaver when you realize at 5 PM that you forgot to take anything out. Portion it once and cheap ground beef meals for large families stop depending on your memory.","Orange text pin reading freeze ground beef in flat one pound squares, they thaw in about twenty minutes.",Cheap Meals for Large Families,https://www.daily-life-hacks.com/flat-pound-squares-twenty-minutes
cheap-ground-beef-meals-large-families,8,Beef and Broccoli Uses Almost No Beef. The Rice Does the Heavy Lifting,"Rice based dishes stretch a small amount of meat further than anything else in the kitchen. A beef and broccoli stir fry leans on the rice and the bulky florets, so very little meat has to cover the whole table. Cheap ground beef meals for large families live or die on the bag of rice in the pantry.","Cream text pin reading beef and broccoli uses almost no beef, the rice does the work.",Cheap Meals for Large Families,https://www.daily-life-hacks.com/rice-does-heavy-lifting-beef
how-to-stretch-meals-large-families,5,"If the Recipe Calls for Two Pounds of Beef, Use One","Finely chopped mushrooms, cooked lentils, or grated zucchini fill the space that second pound used to take, and they soak up the fat and spices while they cook. It works best in heavy sauces like bolognese or taco meat. That's how to stretch meals for large families without anyone catching on.","Dark text pin reading if the recipe calls for two pounds of beef, use one.",Cheap Meals for Large Families,https://www.daily-life-hacks.com/use-one-pound-instead-two
how-to-stretch-meals-large-families,6,A Cup of Dry Beans and Two Thirds of a Cup of Rice Covers One Adult for a Day,"Stop guessing at the pot size. A cup of dry beans plus two thirds of a cup of dry rice covers one adult for a full day, so you can scale by head count instead of vibes. It's the least stressful way to stretch meals for large families.",Cream text pin reading a cup of dry beans and two thirds of a cup of rice covers one adult for a day.,Cheap Meals for Large Families,https://www.daily-life-hacks.com/cup-beans-two-thirds-rice
how-to-stretch-meals-large-families,7,A Handful of Quick Oats Disappears Into Thin Soup and Thickens It,"Liquid doesn't keep anybody full. A can of white beans adds creaminess, potatoes act like flavor sponges, and a handful of quick cooking oats vanishes into the broth and thickens it. That's how you stretch meals for large families without buying more meat.",Orange text pin reading a handful of quick oats disappears into thin soup and thickens it.,Cheap Meals for Large Families,https://www.daily-life-hacks.com/quick-oats-thicken-thin-soup
