slug,last_crawled,title_excerpt,answer_first,body_words,markdown_inbound,markdown_outbound,validator,image_schema,source_traceability,duplicate_intent,decision
how-to-season-cast-iron-skillet-properly,2026-05-10,PASS,YES,893,3,3,PASS,"hero + responsive WebP + Article schema","Practical technique; 450F/1 hour is uncited","No; skillet-preheating page has different intent",FREEZE
how-to-make-grocery-shopping-cheaper,2026-05-09,PASS,NO,1875,6,8,"Tier 2 only: legacy length/H2; 'treat' false positive","hero + responsive WebP + Article schema","Internal study/pillar numbers linked; Wednesday-sale claim is uncited","No; grocery-list and cheaper-store pages answer narrower intents",FREEZE
kitchen-tools-that-save-time-and-money,2026-05-07,PASS,YES,838,3,4,PASS,"hero + responsive WebP + Article schema","Low-risk practical recommendations; no external source trail","No; food-prep page is workflow rather than tool selection",FREEZE
chia-pudding-variations-for-breakfast,2026-05-06,PASS,NO,1251,3,3,"Tier 2 only: legacy length/H2","hero + responsive WebP + Article schema","Fiber/fullness statements have no external citation","No; savory-chia article serves recipe variation intent",FREEZE
how-to-use-leftover-rice-creative-ideas,2026-05-05,PASS,YES,923,8,4,PASS,"hero + responsive WebP + Article schema","Two-hour and 3-4-day food-safety claims lack an official source","No direct duplicate intent",FREEZE
high-protein-high-fiber-meals-for-weight-loss,2026-05-04,PASS,NO,1385,3,5,"Tier 2 only: legacy length/H2; 'treat oatmeal' false positive","hero + responsive WebP + Article schema","30-40g and satiety-duration guidance has no external citation","Monitor only; satiety comparison page is adjacent but distinct",FREEZE
how-to-store-fresh-herbs-to-last-longer,2026-05-03,PASS,YES,854,2,4,PASS,"hero + responsive WebP + Article schema","Two-to-three-week storage claim is uncited","No; other storage pages cover different foods",FREEZE
big-flavor-less-salt-citrus-herbs-umami-swaps,2026-07-05,PASS,YES,982,5,4,PASS,"hero + responsive WebP + Article schema","Practical formulas; no consequential external data claims","No; sugar-swap article has different modifier",FREEZE
good-source-of-fiber-label-meaning,2026-07-05,PASS,YES,1155,4,8,"Tier 2 only: 'treat it like' false positive","hero + responsive WebP + Article schema","Names 21 CFR 101.54 and USDA sources but does not link the official documents","No; label interpretation is a unique intent",FREEZE
how-to-pack-salad-for-work-not-soggy,2026-07-04,PASS,NO,975,3,3,PASS,"hero + responsive WebP + Article schema","Low-risk packing guidance; no external source trail","No; pasta-picnic page is a different food and occasion",FREEZE
how-to-pack-cold-pasta-salad-picnics,2026-06-22,PASS,NO,940,5,3,"Tier 2 only: 'treat packing' false positive","hero + responsive WebP + Article schema","40F/2-hour/1-hour safety thresholds lack an official source","No; potluck pasta page is recipe intent",FREEZE
natto-japanese-fermented-soybeans-gut-health,2026-06-14,PASS,YES,886,3,3,PASS,"hero + responsive WebP + Article schema","Adequate: PubMed trial and NIH vitamin K source linked","No direct duplicate intent",FREEZE
freezer-organization-tips-large-family-meals,2026-05-31,PASS,NO,958,2,5,PASS,"hero + responsive WebP + Article schema","0F/three-month/50-percent reheating claims lack an official source","No; large-family meal pages cover buying/cooking rather than storage",FREEZE
high-fiber-meals-for-constipation-relief,2026-05-12,PASS,YES,1348,3,5,"Tier 2 only: legacy length/H2","hero + responsive WebP + Article schema","Adequate: NIDDK guidance and warning-sign source linked","No; fiber rankings and cost studies have different intent",FREEZE
