rank_lowest_sodium_first,food,category,sodium_mg_per_100g,sodium_mg_per_dollar,fiber_g_per_100g,protein_g_per_100g,package,package_price_usd,package_weight_g,edible_fraction,price_per_100g_usd,price_basis,nutrition_source_status,nutrition_source_type,nutrition_source_id,nutrition_source_url,nutrition_source_description
1,Almonds,Nuts & seeds,1,0.7,12.5,21.15,16 oz bag,6.47,454,1.0,1.425,Walmart GV,exact,USDA FoodData Central SR Legacy,FDC 170567,https://api.nal.usda.gov/fdc/v1/food/170567?api_key=DEMO_KEY,"Nuts, almonds"
2,Bananas,Fresh fruit,1,7.0,2.6,,per lb,0.65,454,0.64,0.143,BLS US avg,exact,USDA FoodData Central SR Legacy,FDC 173944,https://api.nal.usda.gov/fdc/v1/food/173944?api_key=DEMO_KEY,"Bananas, raw"
3,Blackberries,Fresh fruit,1,0.7,5.3,,6 oz box,2.28,170,1.0,1.341,Walmart,exact,USDA FoodData Central SR Legacy,FDC 173946,https://api.nal.usda.gov/fdc/v1/food/173946?api_key=DEMO_KEY,"Blackberries, raw"
4,Blueberries,Fresh fruit,1,1.0,2.4,,pint (11 oz),2.98,312,1.0,0.955,Walmart,exact,USDA FoodData Central SR Legacy,FDC 171711,https://api.nal.usda.gov/fdc/v1/food/171711?api_key=DEMO_KEY,"Blueberries, raw"
5,Pears,Fresh fruit,1,2.9,3.1,,per lb,1.58,454,0.9,0.348,Walmart,exact,USDA FoodData Central SR Legacy,FDC 169118,https://api.nal.usda.gov/fdc/v1/food/169118?api_key=DEMO_KEY,"Pears, raw"
6,Raspberries,Fresh fruit,1,0.7,6.5,,6 oz box,2.48,170,1.0,1.459,Walmart,exact,USDA FoodData Central SR Legacy,FDC 167755,https://api.nal.usda.gov/fdc/v1/food/167755?api_key=DEMO_KEY,"Raspberries, raw"
7,Strawberries,Fresh fruit,1,1.8,2.0,,16 oz box,2.48,454,0.94,0.546,Walmart,exact,USDA FoodData Central SR Legacy,FDC 167762,https://api.nal.usda.gov/fdc/v1/food/167762?api_key=DEMO_KEY,"Strawberries, raw"
8,Prunes (dried plums),Dried fruit,2,2.3,7.1,,16 oz bag,3.98,454,1.0,0.877,Walmart,exact,USDA FoodData Central SR Legacy,FDC 168162,https://api.nal.usda.gov/fdc/v1/food/168162?api_key=DEMO_KEY,"Plums, dried (prunes), uncooked"
9,Whole wheat flour,Whole grains,2,14.5,10.7,13.21,5 lb bag,3.12,2268,1.0,0.138,Walmart GV,exact,USDA FoodData Central SR Legacy,FDC 168893,https://api.nal.usda.gov/fdc/v1/food/168893?api_key=DEMO_KEY,"Wheat flour, whole-grain (Includes foods for USDA's Food Distribution Program)"
10,Oat bran (dry),Whole grains,4,5.8,15.4,,18 oz bag,3.49,510,1.0,0.684,Walmart,exact,USDA FoodData Central SR Legacy,FDC 168872,https://api.nal.usda.gov/fdc/v1/food/168872?api_key=DEMO_KEY,"Oat bran, raw"
11,Tofu (extra firm),Soy & plant proteins,4,5.4,,9.98,14 oz block,2.92,397,1.0,0.736,Walmart (Nasoya) Jul 2026,exact,USDA FoodData Central SR Legacy,FDC 174290,https://api.nal.usda.gov/fdc/v1/food/174290?api_key=DEMO_KEY,"Tofu, extra firm, prepared with nigari"
12,Black beans (dry),Dried beans & peas,5,18.7,15.5,21.6,2 lb bag,2.42,907,1.0,0.267,Walmart GV,exact,USDA FoodData Central SR Legacy,FDC 173734,https://api.nal.usda.gov/fdc/v1/food/173734?api_key=DEMO_KEY,"Beans, black, mature seeds, raw"
13,Brown rice (dry),Whole grains,5,24.3,3.6,7.54,2 lb bag,1.87,907,1.0,0.206,Walmart GV,exact,USDA FoodData Central SR Legacy,FDC 169703,https://api.nal.usda.gov/fdc/v1/food/169703?api_key=DEMO_KEY,"Rice, brown, long-grain, raw (Includes foods for USDA's Food Distribution Program)"
14,Green split peas (dry),Dried beans & peas,5,16.0,22.2,23.12,16 oz bag,1.42,454,1.0,0.313,Walmart GV,exact,USDA FoodData Central SR Legacy,FDC 172428,https://api.nal.usda.gov/fdc/v1/food/172428?api_key=DEMO_KEY,"Peas, green, split, mature seeds, raw"
15,Navy beans (dry),Dried beans & peas,5,17.0,15.3,22.33,2 lb bag,2.67,907,1.0,0.294,Walmart GV,exact,USDA FoodData Central SR Legacy,FDC 173745,https://api.nal.usda.gov/fdc/v1/food/173745?api_key=DEMO_KEY,"Beans, navy, mature seeds, raw"
16,Quinoa (dry),Whole grains,5,7.6,7.0,14.12,2 lb bag,5.97,907,1.0,0.658,Walmart GV,exact,USDA FoodData Central SR Legacy,FDC 168874,https://api.nal.usda.gov/fdc/v1/food/168874?api_key=DEMO_KEY,"Quinoa, uncooked"
17,Russet potatoes (with skin),Fresh vegetables,5,25.5,1.3,,per lb,0.89,454,1.0,0.196,BLS US avg,exact,USDA FoodData Central SR Legacy,FDC 170027,https://api.nal.usda.gov/fdc/v1/food/170027?api_key=DEMO_KEY,"Potatoes, russet, flesh and skin, raw (Includes foods for USDA's Food Distribution Program)"
18,Brown lentils (dry),Dried beans & peas,6,18.9,10.7,24.63,16 oz bag,1.44,454,1.0,0.317,Walmart GV,exact,USDA FoodData Central SR Legacy,FDC 172420,https://api.nal.usda.gov/fdc/v1/food/172420?api_key=DEMO_KEY,"Lentils, raw"
19,Frozen shelled edamame,Soy & plant proteins,6,9.6,,11.22,12 oz bag,2.12,340,1.0,0.624,"Walmart GV (fiber study, audited)",exact,USDA FoodData Central SR Legacy,FDC 168410,https://api.nal.usda.gov/fdc/v1/food/168410?api_key=DEMO_KEY,"Edamame, frozen, unprepared"
20,Old-fashioned rolled oats,Whole grains,6,21.3,10.1,13.15,42 oz canister,3.36,1191,1.0,0.282,Walmart GV,exact,USDA FoodData Central SR Legacy,FDC 173904,https://api.nal.usda.gov/fdc/v1/food/173904?api_key=DEMO_KEY,"Cereals, oats, regular and quick, not fortified, dry"
21,Whole wheat spaghetti,Whole grains,6,23.1,9.2,13.87,16 oz box,1.18,454,1.0,0.26,Walmart GV,exact,USDA FoodData Central SR Legacy,FDC 169738,https://api.nal.usda.gov/fdc/v1/food/169738?api_key=DEMO_KEY,"Pasta, whole-wheat, dry (Includes foods for USDA's Food Distribution Program)"
22,Avocado,Fresh fruit,7,14.7,6.7,,each (~7 oz),0.95,200,0.74,0.475,Walmart,exact,USDA FoodData Central SR Legacy,FDC 171705,https://api.nal.usda.gov/fdc/v1/food/171705?api_key=DEMO_KEY,"Avocados, raw, all commercial varieties"
23,Red lentils (dry),Dried beans & peas,7,16.4,10.8,23.91,16 oz bag,1.94,454,1.0,0.427,Walmart,exact,USDA FoodData Central SR Legacy,FDC 174284,https://api.nal.usda.gov/fdc/v1/food/174284?api_key=DEMO_KEY,"Lentils, pink or red, raw"
24,Pearled barley (dry),Whole grains,9,33.0,15.6,9.91,16 oz bag,1.24,454,1.0,0.273,Walmart GV,exact,USDA FoodData Central SR Legacy,FDC 170284,https://api.nal.usda.gov/fdc/v1/food/170284?api_key=DEMO_KEY,"Barley, pearled, raw"
25,Sunflower seed kernels,Nuts & seeds,9,13.7,8.6,20.78,16 oz bag,2.98,454,1.0,0.656,Walmart,exact,USDA FoodData Central SR Legacy,FDC 170562,https://api.nal.usda.gov/fdc/v1/food/170562?api_key=DEMO_KEY,"Seeds, sunflower seed kernels, dried"
26,Tempeh,Soy & plant proteins,9,5.9,,20.29,8 oz pack,3.48,227,1.0,1.533,Walmart (Lightlife) Jul 2026,exact,USDA FoodData Central SR Legacy,FDC 174272,https://api.nal.usda.gov/fdc/v1/food/174272?api_key=DEMO_KEY,Tempeh
27,Pinto beans (dry),Dried beans & peas,12,54.8,15.5,21.42,4 lb bag,3.97,1814,1.0,0.219,Walmart GV,exact,USDA FoodData Central SR Legacy,FDC 175199,https://api.nal.usda.gov/fdc/v1/food/175199?api_key=DEMO_KEY,"Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)"
28,Raisins,Dried fruit,13.17,22.4,3.7,,20 oz canister,3.34,567,1.0,0.589,Walmart GV,exact,USDA FoodData Central Foundation,FDC 2758980,https://api.nal.usda.gov/fdc/v1/food/2758980?api_key=DEMO_KEY,"Raisins, dark, seedless"
29,Chia seeds,Nuts & seeds,16,15.4,34.4,,32 oz bag,9.44,907,1.0,1.041,Walmart GV,exact,USDA FoodData Central SR Legacy,FDC 170554,https://api.nal.usda.gov/fdc/v1/food/170554?api_key=DEMO_KEY,"Seeds, chia seeds, dried"
30,Bulgur wheat (dry),Whole grains,17,33.1,12.5,,24 oz bag,3.49,680,1.0,0.513,Walmart,exact,USDA FoodData Central SR Legacy,FDC 170688,https://api.nal.usda.gov/fdc/v1/food/170688?api_key=DEMO_KEY,"Bulgur, dry"
31,Green cabbage,Fresh vegetables,18,104.7,2.5,,per lb,0.78,454,1.0,0.172,Walmart,exact,USDA FoodData Central SR Legacy,FDC 169975,https://api.nal.usda.gov/fdc/v1/food/169975?api_key=DEMO_KEY,"Cabbage, raw"
32,Chickpeas (dry),Dried beans & peas,24,66.5,12.2,20.47,16 oz bag,1.64,454,1.0,0.361,Walmart,exact,USDA FoodData Central SR Legacy,FDC 173756,https://api.nal.usda.gov/fdc/v1/food/173756?api_key=DEMO_KEY,"Chickpeas (garbanzo beans, bengal gram), mature seeds, raw"
33,Brussels sprouts,Fresh vegetables,25,45.8,3.8,,per lb,2.48,454,1.0,0.546,Walmart,exact,USDA FoodData Central SR Legacy,FDC 170383,https://api.nal.usda.gov/fdc/v1/food/170383?api_key=DEMO_KEY,"Brussels sprouts, raw"
34,Whole flaxseed,Nuts & seeds,30,31.3,27.3,,22 oz bag,5.98,624,1.0,0.958,Walmart,exact,USDA FoodData Central SR Legacy,FDC 169414,https://api.nal.usda.gov/fdc/v1/food/169414?api_key=DEMO_KEY,"Seeds, flaxseed"
35,"Greek yogurt (plain, nonfat)",Eggs & dairy,36,97.3,,10.19,32 oz tub,3.36,907,1.0,0.37,Walmart GV Jul 2026,exact,USDA FoodData Central SR Legacy,FDC 170894,https://api.nal.usda.gov/fdc/v1/food/170894?api_key=DEMO_KEY,"Yogurt, Greek, plain, nonfat (Includes foods for USDA's Food Distribution Program)"
36,"Chicken breast (boneless, skinless)",Meat & poultry,45,49.0,,22.5,per lb,4.17,454,1.0,0.919,BLS US avg May 2026 (APU0000FF1101),exact,USDA FoodData Central SR Legacy,FDC 171077,https://api.nal.usda.gov/fdc/v1/food/171077?api_key=DEMO_KEY,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw"
37,Pork loin chops (boneless),Meat & poultry,48,49.6,,21.55,per lb,4.39,454,1.0,0.967,BLS US avg May 2026 (APU0000FD3101),exact,USDA FoodData Central SR Legacy,FDC 167839,https://api.nal.usda.gov/fdc/v1/food/167839?api_key=DEMO_KEY,"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, raw"
38,Chopped kale (bagged),Fresh vegetables,53,97.1,4.1,,16 oz bag,2.48,454,1.0,0.546,Walmart,exact,USDA FoodData Central SR Legacy,FDC 168421,https://api.nal.usda.gov/fdc/v1/food/168421?api_key=DEMO_KEY,"Kale, raw"
39,Sweet potatoes,Fresh vegetables,55,254.6,3.0,,per lb,0.98,454,1.0,0.216,Walmart,exact,USDA FoodData Central SR Legacy,FDC 168482,https://api.nal.usda.gov/fdc/v1/food/168482?api_key=DEMO_KEY,"Sweet potato, raw, unprepared (Includes foods for USDA's Food Distribution Program)"
40,Ground beef (80/20),Meat & poultry,66,44.4,,17.17,per lb,6.75,454,1.0,1.487,BLS US avg May 2026 (APU0000703112),exact,USDA FoodData Central SR Legacy,FDC 174036,https://api.nal.usda.gov/fdc/v1/food/174036?api_key=DEMO_KEY,"Beef, ground, 80% lean meat / 20% fat, raw"
41,Ground beef (93/7),Meat & poultry,66,34.8,,20.85,per lb,8.62,454,1.0,1.899,BLS US avg May 2026 (APU0000703113),exact,USDA FoodData Central SR Legacy,FDC 173110,https://api.nal.usda.gov/fdc/v1/food/173110?api_key=DEMO_KEY,"Beef, ground, 93% lean meat / 7% fat, raw"
42,"Carrots (whole, bagged)",Fresh vegetables,69,396.6,2.8,,2 lb bag,1.58,907,1.0,0.174,Walmart,exact,USDA FoodData Central SR Legacy,FDC 170393,https://api.nal.usda.gov/fdc/v1/food/170393?api_key=DEMO_KEY,"Carrots, raw"
43,Ground turkey (93/7),Meat & poultry,69,57.4,,18.73,1 lb roll,5.46,454,1.0,1.203,Walmart (Jennie-O) Jul 2026,exact,USDA FoodData Central SR Legacy,FDC 172850,https://api.nal.usda.gov/fdc/v1/food/172850?api_key=DEMO_KEY,"Turkey, ground, 93% lean, 7% fat, raw"
44,Frozen chopped spinach,Frozen vegetables,74,213.3,2.9,,12 oz bag,1.18,340,1.0,0.347,Walmart GV,exact,USDA FoodData Central SR Legacy,FDC 169287,https://api.nal.usda.gov/fdc/v1/food/169287?api_key=DEMO_KEY,"Spinach, frozen, chopped or leaf, unprepared (Includes foods for USDA's Food Distribution Program)"
45,"Chicken thighs (boneless, skinless)",Meat & poultry,95,134.0,,19.66,per lb,3.22,454,1.0,0.709,Walmart Jul 2026,exact,USDA FoodData Central SR Legacy,FDC 173627,https://api.nal.usda.gov/fdc/v1/food/173627?api_key=DEMO_KEY,"Chicken, broilers or fryers, dark meat, thigh, meat only, raw"
46,Chicken drumsticks (bone-in),Meat & poultry,106,439.8,,18.08,5 lb bag,5.46,2268,0.67,0.241,Walmart Jul 2026; USDA SR28 refuse: 33% bone and cartilage,exact,USDA FoodData Central SR Legacy,FDC 172373,https://api.nal.usda.gov/fdc/v1/food/172373?api_key=DEMO_KEY,"Chicken, broilers or fryers, drumstick, meat and skin, raw"
47,Frozen green peas,Frozen vegetables,108,421.9,4.5,5.22,32 oz bag,2.32,907,1.0,0.256,Walmart GV,exact,USDA FoodData Central SR Legacy,FDC 170016,https://api.nal.usda.gov/fdc/v1/food/170016?api_key=DEMO_KEY,"Peas, green, frozen, unprepared (Includes foods for USDA's Food Distribution Program)"
48,Eggs (large),Eggs & dairy,142,389.0,,12.56,1 dozen (600 g edible),2.19,600,1.0,0.365,BLS US avg May 2026 (APU0000708111),exact,USDA FoodData Central SR Legacy,FDC 171287,https://api.nal.usda.gov/fdc/v1/food/171287?api_key=DEMO_KEY,"Egg, whole, raw, fresh"
49,"Canned tuna (chunk light, in water)",Fish (canned & frozen),247,284.9,,19.44,5 oz can (113 g drained),0.98,113,1.0,0.867,Walmart GV Jul 2026,exact,USDA FoodData Central SR Legacy,FDC 173709,https://api.nal.usda.gov/fdc/v1/food/173709?api_key=DEMO_KEY,"Fish, tuna, light, canned in water, drained solids (Includes foods for USDA's Food Distribution Program)"
50,Canned kidney beans,Canned,296,1327.4,4.3,5.22,15.5 oz can,0.98,439,1.0,0.223,Walmart GV,exact,USDA FoodData Central SR Legacy,FDC 173741,https://api.nal.usda.gov/fdc/v1/food/173741?api_key=DEMO_KEY,"Beans, kidney, all types, mature seeds, canned"
51,"Sardines (canned in oil, drained)",Fish (canned & frozen),307,252.3,,24.62,3.75 oz can (92 g drained),1.12,92,1.0,1.217,Walmart Jul 2026,exact,USDA FoodData Central SR Legacy,FDC 175139,https://api.nal.usda.gov/fdc/v1/food/175139?api_key=DEMO_KEY,"Fish, sardine, Atlantic, canned in oil, drained solids with bone"
52,Canned pink salmon,Fish (canned & frozen),403,443.3,,19.68,14.75 oz can,3.8,418,1.0,0.909,Walmart GV Jul 2026,exact,USDA FoodData Central SR Legacy,FDC 173690,https://api.nal.usda.gov/fdc/v1/food/173690?api_key=DEMO_KEY,"Fish, salmon, pink, canned, total can contents"
53,100% whole wheat bread,Whole grains,455,1311.2,6.0,12.45,20 oz loaf,1.97,567,1.0,0.347,Walmart GV,exact,USDA FoodData Central SR Legacy,FDC 172688,https://api.nal.usda.gov/fdc/v1/food/172688?api_key=DEMO_KEY,"Bread, whole-wheat, commercially prepared"
54,Cheddar cheese,Eggs & dairy,653,521.1,,22.87,per lb,5.69,454,1.0,1.253,BLS US avg May 2026 (APU0000710212),exact,USDA FoodData Central SR Legacy,FDC 173414,https://api.nal.usda.gov/fdc/v1/food/173414?api_key=DEMO_KEY,"Cheese, cheddar (Includes foods for USDA's Food Distribution Program)"
55,Mozzarella (low-moisture part-skim),Eggs & dairy,666,844.1,,23.75,16 oz block,3.58,454,1.0,0.789,Walmart GV Jul 2026,exact,USDA FoodData Central SR Legacy,FDC 171244,https://api.nal.usda.gov/fdc/v1/food/171244?api_key=DEMO_KEY,"Cheese, mozzarella, low moisture, part-skim"
56,Bacon,Meat & poultry,751,508.1,,13.66,per lb,6.71,454,1.0,1.478,BLS US avg May 2026 (APU0000704111),exact,USDA FoodData Central SR Legacy,FDC 168277,https://api.nal.usda.gov/fdc/v1/food/168277?api_key=DEMO_KEY,"Pork, cured, bacon, unprepared"
