food,category,value,package,package_price_usd,price_basis
Peanut butter,Nuts & seeds,50.7,40 oz jar,4.97,"Walmart GV (fiber study, audited)"
Dry roasted peanuts,Nuts & seeds,39.8,16 oz jar,2.78,"Walmart GV (fiber study, audited)"
Sunflower seed kernels,Nuts & seeds,31.7,16 oz bag,2.98,"Walmart (fiber study, audited)"
Canned black beans,Canned beans,30.1,15.5 oz can,0.88,"Walmart GV (fiber study, audited)"
Whole milk,Eggs & dairy,28.5,1 gallon,4.31,BLS US avg July 2026 (APU0000709112)
"Greek yogurt (plain, nonfat)",Eggs & dairy,27.5,32 oz tub,3.36,Walmart GV Jul 2026
"Rotisserie chicken (whole, cooked)",Meat & poultry,26.7,"whole bird (36 oz, cooked)",5.97,"Walmart deli Jul 2026; USDA SR28 refuse (roasted, meat only): 33% bone + 13% skin"
Cottage cheese (4%),Eggs & dairy,26.3,24 oz tub,2.87,Walmart GV Jul 2026
Canned kidney beans,Canned beans,23.4,15.5 oz can,0.98,"Walmart GV (fiber study, audited)"
"Canned tuna (chunk light, in water)",Fish (canned & frozen),22.4,5 oz can (113 g drained),0.98,Walmart GV Jul 2026
Canned chickpeas,Canned beans,22.0,15.5 oz can,0.98,"Walmart GV (fiber study, audited)"
Canned pink salmon,Fish (canned & frozen),21.6,14.75 oz can,3.8,Walmart GV Jul 2026
"Sardines (canned in oil, drained)",Fish (canned & frozen),20.2,3.75 oz can (92 g drained),1.12,Walmart Jul 2026
Cheddar cheese,Eggs & dairy,18.1,per lb,5.75,BLS US avg July 2026 (APU0000710212)
Almonds,Nuts & seeds,14.8,16 oz bag,6.47,"Walmart GV (fiber study, audited)"
