"priority_tier","priority_score","slug","url","build_exists","canonical_status","canonical_concern","robots_status","in_sitemap","article_inlinks","site_inlinks","outgoing_article_links","orphan","site_orphan","low_inlink","cluster_status","cluster","parent_pillar","local_concerns","gsc_url_inspection"
"P2","35","30-day-high-fiber-challenge-meal-plan","https://www.daily-life-hacks.com/30-day-high-fiber-challenge-meal-plan/","true","ok","false","index","true","1","3","6","false","false","true","missing","","","low_article_inlinks|cluster_missing","priority_queue"
"P2","35","black-bean-brownies-hidden-fiber-dessert","https://www.daily-life-hacks.com/black-bean-brownies-hidden-fiber-dessert/","true","ok","false","index","true","1","3","5","false","false","true","missing","","","low_article_inlinks|cluster_missing","priority_queue"
"P2","35","healthy-sweet-tooth-snack-ideas-night","https://www.daily-life-hacks.com/healthy-sweet-tooth-snack-ideas-night/","true","ok","false","index","true","1","2","6","false","false","true","missing","","","low_article_inlinks|cluster_missing","priority_queue"
"P2","35","how-to-reduce-food-waste-at-home-easy-tips","https://www.daily-life-hacks.com/how-to-reduce-food-waste-at-home-easy-tips/","true","ok","false","index","true","1","2","7","false","false","true","missing","","","low_article_inlinks|cluster_missing","priority_queue"
"P2","35","ricotta-berry-toast-bar-no-cook","https://www.daily-life-hacks.com/ricotta-berry-toast-bar-no-cook/","true","ok","false","index","true","1","2","6","false","false","true","missing","","","low_article_inlinks|cluster_missing","priority_queue"
"P2","35","selenium-containing-foods-easy-ways","https://www.daily-life-hacks.com/selenium-containing-foods-easy-ways/","true","ok","false","index","true","1","2","4","false","false","true","missing","","","low_article_inlinks|cluster_missing","priority_queue"
"P2","35","sheet-pan-salmon-and-vegetables-30-minutes","https://www.daily-life-hacks.com/sheet-pan-salmon-and-vegetables-30-minutes/","true","ok","false","index","true","1","2","6","false","false","true","missing","","","low_article_inlinks|cluster_missing","priority_queue"
"P2","35","tuscan-white-bean-kale-soup-stovetop","https://www.daily-life-hacks.com/tuscan-white-bean-kale-soup-stovetop/","true","ok","false","index","true","1","2","6","false","false","true","missing","","","low_article_inlinks|cluster_missing","priority_queue"
"P2","35","add-flavor-without-more-sugar-tricks","https://www.daily-life-hacks.com/add-flavor-without-more-sugar-tricks/","true","ok","false","index","true","2","4","5","false","false","true","missing","","","low_article_inlinks|cluster_missing","priority_queue"
"P2","35","air-fryer-salmon-bites-garlic-honey-glaze","https://www.daily-life-hacks.com/air-fryer-salmon-bites-garlic-honey-glaze/","true","ok","false","index","true","2","3","5","false","false","true","missing","","","low_article_inlinks|cluster_missing","priority_queue"
