rank,food,category,fiber_g_per_100g,package,package_price_usd,package_weight_g,edible_fraction,price_per_100g_usd,fiber_g_per_dollar,price_basis,nutrition_source_status,nutrition_source_type,nutrition_source_id,nutrition_source_url,nutrition_source_description,nutrition_source_form,nutrition_source_note
1,Whole wheat flour,Whole grains,10.7,5 lb bag,3.12,2268,1.0,0.138,77.8,Walmart GV,exact,USDA FoodData Central SR Legacy,FDC 168893,https://api.nal.usda.gov/fdc/v1/food/168893?api_key=DEMO_KEY,"Wheat flour, whole-grain (Includes foods for USDA's Food Distribution Program)",Whole-grain flour,
2,Green split peas (dry),Dried beans & peas,22.2,16 oz bag,1.42,454,1.0,0.313,71.0,Walmart GV,exact,USDA FoodData Central SR Legacy,FDC 172428,https://api.nal.usda.gov/fdc/v1/food/172428?api_key=DEMO_KEY,"Peas, green, split, mature seeds, raw","Mature seeds, raw",
3,Pinto beans (dry),Dried beans & peas,15.5,4 lb bag,3.97,1814,1.0,0.219,70.8,Walmart GV,exact,USDA FoodData Central SR Legacy,FDC 175199,https://api.nal.usda.gov/fdc/v1/food/175199?api_key=DEMO_KEY,"Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)","Mature seeds, raw",
4,Black beans (dry),Dried beans & peas,15.5,2 lb bag,2.42,907,1.0,0.267,58.1,Walmart GV,exact,USDA FoodData Central SR Legacy,FDC 173734,https://api.nal.usda.gov/fdc/v1/food/173734?api_key=DEMO_KEY,"Beans, black, mature seeds, raw","Mature seeds, raw",
5,Popcorn kernels,Whole grains,14.5,2 lb bag,2.28,907,1.0,0.251,57.7,Walmart GV,unresolved,Unresolved,,,,Not resolved,"The 14.5 value matches air-popped popcorn FDC 167959, not unpopped kernels; the named form and USDA preparation do not match."
6,Pearled barley (dry),Whole grains,15.6,16 oz bag,1.24,454,1.0,0.273,57.1,Walmart GV,exact,USDA FoodData Central SR Legacy,FDC 170284,https://api.nal.usda.gov/fdc/v1/food/170284?api_key=DEMO_KEY,"Barley, pearled, raw","Pearled, raw",
7,Navy beans (dry),Dried beans & peas,15.3,2 lb bag,2.67,907,1.0,0.294,52.0,Walmart GV,exact,USDA FoodData Central SR Legacy,FDC 173745,https://api.nal.usda.gov/fdc/v1/food/173745?api_key=DEMO_KEY,"Beans, navy, mature seeds, raw","Mature seeds, raw",
8,Old-fashioned rolled oats,Whole grains,10.1,42 oz canister,3.36,1191,1.0,0.282,35.8,Walmart GV,exact,USDA FoodData Central SR Legacy,FDC 173904,https://api.nal.usda.gov/fdc/v1/food/173904?api_key=DEMO_KEY,"Cereals, oats, regular and quick, not fortified, dry","Regular or quick oats, dry",
9,Whole wheat spaghetti,Whole grains,9.2,16 oz box,1.18,454,1.0,0.26,35.4,Walmart GV,exact,USDA FoodData Central SR Legacy,FDC 169738,https://api.nal.usda.gov/fdc/v1/food/169738?api_key=DEMO_KEY,"Pasta, whole-wheat, dry (Includes foods for USDA's Food Distribution Program)","Whole-wheat pasta, dry",
10,Chickpeas (dry),Dried beans & peas,12.2,16 oz bag,1.64,454,1.0,0.361,33.8,Walmart,exact,USDA FoodData Central SR Legacy,FDC 173756,https://api.nal.usda.gov/fdc/v1/food/173756?api_key=DEMO_KEY,"Chickpeas (garbanzo beans, bengal gram), mature seeds, raw","Mature seeds, raw",
11,Brown lentils (dry),Dried beans & peas,10.7,16 oz bag,1.44,454,1.0,0.317,33.7,Walmart GV,exact,USDA FoodData Central SR Legacy,FDC 172420,https://api.nal.usda.gov/fdc/v1/food/172420?api_key=DEMO_KEY,"Lentils, raw",Raw,
12,Chia seeds,Nuts & seeds,34.4,32 oz bag,9.44,907,1.0,1.041,33.1,Walmart GV,exact,USDA FoodData Central SR Legacy,FDC 170554,https://api.nal.usda.gov/fdc/v1/food/170554?api_key=DEMO_KEY,"Seeds, chia seeds, dried",Dried,
13,Bran flakes cereal,Whole grains,18.3,17.3 oz box,2.98,490,1.0,0.608,30.1,Walmart GV,proxy,USDA FoodData Central SR Legacy,FDC 173888,https://api.nal.usda.gov/fdc/v1/food/173888?api_key=DEMO_KEY,"Cereals ready-to-eat, POST Bran Flakes",Ready-to-eat POST Bran Flakes,The exact value is from a brand-specific POST record; the priced cereal was Great Value.
14,Whole flaxseed,Nuts & seeds,27.3,22 oz bag,5.98,624,1.0,0.958,28.5,Walmart,exact,USDA FoodData Central SR Legacy,FDC 169414,https://api.nal.usda.gov/fdc/v1/food/169414?api_key=DEMO_KEY,"Seeds, flaxseed",Flaxseed,
15,Canned black beans,Canned,5.6,15.5 oz can,0.88,439,1.0,0.2,27.9,Walmart GV,unresolved,Unresolved,,,,Not resolved,No matching canned-black-bean record with 5.6 g fiber/100 g was found in the official SR Legacy or April 2026 Foundation downloads.
16,Red lentils (dry),Dried beans & peas,10.8,16 oz bag,1.94,454,1.0,0.427,25.3,Walmart,exact,USDA FoodData Central SR Legacy,FDC 174284,https://api.nal.usda.gov/fdc/v1/food/174284?api_key=DEMO_KEY,"Lentils, pink or red, raw",Raw,
17,Bulgur wheat (dry),Whole grains,12.5,24 oz bag,3.49,680,1.0,0.513,24.4,Walmart,exact,USDA FoodData Central SR Legacy,FDC 170688,https://api.nal.usda.gov/fdc/v1/food/170688?api_key=DEMO_KEY,"Bulgur, dry",Dry,
18,Oat bran (dry),Whole grains,15.4,18 oz bag,3.49,510,1.0,0.684,22.5,Walmart,exact,USDA FoodData Central SR Legacy,FDC 168872,https://api.nal.usda.gov/fdc/v1/food/168872?api_key=DEMO_KEY,"Oat bran, raw",Raw,
19,Canned chickpeas,Canned,4.8,15.5 oz can,0.98,439,1.0,0.223,21.5,Walmart GV,unresolved,Unresolved,,,,Not resolved,"Official canned-chickpea records found were 4.4, 6.3, or 6.4 g fiber/100 g, not the dataset's 4.8."
20,Canned kidney beans,Canned,4.3,15.5 oz can,0.98,439,1.0,0.223,19.3,Walmart GV,exact,USDA FoodData Central SR Legacy,FDC 173741,https://api.nal.usda.gov/fdc/v1/food/173741?api_key=DEMO_KEY,"Beans, kidney, all types, mature seeds, canned","All types, mature seeds, canned",
21,Frozen green peas,Frozen vegetables,4.5,32 oz bag,2.32,907,1.0,0.256,17.6,Walmart GV,exact,USDA FoodData Central SR Legacy,FDC 170016,https://api.nal.usda.gov/fdc/v1/food/170016?api_key=DEMO_KEY,"Peas, green, frozen, unprepared (Includes foods for USDA's Food Distribution Program)","Frozen, unprepared",
22,Brown rice (dry),Whole grains,3.6,2 lb bag,1.87,907,1.0,0.206,17.5,Walmart GV,exact,USDA FoodData Central SR Legacy,FDC 169703,https://api.nal.usda.gov/fdc/v1/food/169703?api_key=DEMO_KEY,"Rice, brown, long-grain, raw (Includes foods for USDA's Food Distribution Program)","Long-grain, raw",
23,100% whole wheat bread,Whole grains,6.0,20 oz loaf,1.97,567,1.0,0.347,17.3,Walmart GV,exact,USDA FoodData Central SR Legacy,FDC 172688,https://api.nal.usda.gov/fdc/v1/food/172688?api_key=DEMO_KEY,"Bread, whole-wheat, commercially prepared","Whole-wheat, commercially prepared",
24,"Carrots (whole, bagged)",Fresh vegetables,2.8,2 lb bag,1.58,907,1.0,0.174,16.1,Walmart,exact,USDA FoodData Central SR Legacy,FDC 170393,https://api.nal.usda.gov/fdc/v1/food/170393?api_key=DEMO_KEY,"Carrots, raw",Raw,
25,Green cabbage,Fresh vegetables,2.5,per lb,0.78,454,1.0,0.172,14.6,Walmart,exact,USDA FoodData Central SR Legacy,FDC 169975,https://api.nal.usda.gov/fdc/v1/food/169975?api_key=DEMO_KEY,"Cabbage, raw",Raw,
26,Sweet potatoes,Fresh vegetables,3.0,per lb,0.98,454,1.0,0.216,13.9,Walmart,exact,USDA FoodData Central SR Legacy,FDC 168482,https://api.nal.usda.gov/fdc/v1/food/168482?api_key=DEMO_KEY,"Sweet potato, raw, unprepared (Includes foods for USDA's Food Distribution Program)","Raw, unprepared",
27,Dry roasted peanuts,Nuts & seeds,8.4,16 oz jar,2.78,454,1.0,0.612,13.7,Walmart GV,unresolved,Unresolved,,,,Not resolved,The value matches salted FDC 174262 and unsalted FDC 173806; the price record does not identify the salt variant.
28,Sunflower seed kernels,Nuts & seeds,8.6,16 oz bag,2.98,454,1.0,0.656,13.1,Walmart,exact,USDA FoodData Central SR Legacy,FDC 170562,https://api.nal.usda.gov/fdc/v1/food/170562?api_key=DEMO_KEY,"Seeds, sunflower seed kernels, dried","Sunflower seed kernels, dried",
