slug,title,query_intent,proposed_parent,cannibalization_confidence,recommendation,evidence_note
fiber-per-dollar-cheapest-high-fiber-foods,"Fiber per Dollar: The Cheapest High-Fiber Foods, Ranked","Original data ranking for cheapest high-fiber foods and fiber per dollar",how-to-eat-more-fiber-on-a-budget-complete-guide,low,"keep; data hub","Unique 53-food dataset, CSV, and calculator; strengthened in B1"
what-30-grams-of-fiber-costs-per-day,"What a Day of 30 Grams of Fiber Actually Costs","Daily cost scenarios for reaching about 30 grams of fiber",fiber-per-dollar-cheapest-high-fiber-foods,low,"keep; data spoke","Distinct scenario analysis built from the parent dataset; strengthened in B1"
how-to-eat-more-fiber-on-a-budget-complete-guide,"How to Eat More Fiber on a Budget: The Complete Guide","Practical budget-fiber system, shopping, meals, and gradual adoption",cluster-root,low,"keep; primary pillar","Broadest actionable intent and current declared fiber pillar; strengthened in B1"
30-day-high-fiber-challenge-meal-plan,"30 Day High Fiber Challenge Meal Plan","Structured 30-day high-fiber meal plan",how-to-eat-more-fiber-on-a-budget-complete-guide,medium,"keep; rewrite for distinct plan intent","Plan intent is distinct, but broad guide overlap needs tighter boundaries"
high-fiber-meals-for-constipation-relief,"What Are Good Sources of Fiber for Constipation","Fiber foods and meals for constipation-oriented searches",how-to-eat-more-fiber-on-a-budget-complete-guide,high,"keep as canonical symptom-intent winner; medical review","Best exact-match destination for this YMYL intent"
vegetarian-high-fiber-dinners-for-natural-relief,"Vegetarian High Fiber Dinners for Natural Relief","Vegetarian high-fiber dinners framed around relief",high-fiber-meals-for-constipation-relief,high,"merge candidate; retain vegetarian meal examples; no redirect yet","Overlaps symptom-relief intent and is thin; destination requires retained-content check"
fiber-rich-soup-for-weight-loss-cabbage,"Fiber Rich Soup for Weight Loss Cabbage","Cabbage soup recipe with fiber and weight-loss framing",how-to-eat-more-fiber-on-a-budget-complete-guide,medium,"rewrite; remove outcome framing; keep recipe intent","Recipe can stay distinct, but title/claims create YMYL and intent ambiguity"
best-high-fiber-fruits-for-weight-loss-list,"Fiber-Rich Fruits for Feeling Full","High-fiber fruit comparison for satiety-oriented searches",how-to-eat-more-fiber-on-a-budget-complete-guide,medium,"rewrite; keep fruit comparison intent","Distinct food-list utility, but weight-loss framing needs cautious claims"
how-to-increase-fiber-intake-without-gas,"How to Add More Fiber Without Gas","Gradual fiber increase and digestive comfort",how-to-eat-more-fiber-on-a-budget-complete-guide,low,"keep; strengthen primary health sourcing","Clear how-to intent and natural safety spoke"
water-and-fiber-the-golden-rule,"Water and Fiber the Golden Rule","Hydration guidance when increasing fiber",how-to-increase-fiber-intake-without-gas,medium,"keep; rewrite with primary sources","Narrow support intent; must avoid universal hydration prescriptions"
good-source-of-fiber-label-meaning,"What 'Good Source of Fiber' Means on a Label (And What It Doesn't)","FDA label definition and fiber claims",how-to-eat-more-fiber-on-a-budget-complete-guide,low,"keep; authority spoke","Distinct regulatory label intent; historical GSC data showed relevance but is stale"
high-fiber-fast-food-options-guide,"High Fiber Fast Food: The Best Order at Every Chain","Chain-specific high-fiber menu comparison",how-to-eat-more-fiber-on-a-budget-complete-guide,low,"keep; refresh chain data on schedule","Distinct restaurant/menu intent; old June impressions are stale, not merge evidence"
easy-high-fiber-breakfast-ideas-for-gut-health,"Easy High Fiber Breakfast Ideas for Gut Health","Roundup of high-fiber breakfast ideas",how-to-eat-more-fiber-on-a-budget-complete-guide,medium,"keep as breakfast roundup parent; narrow health wording","Natural parent for breakfast recipes; avoid competing with individual recipes"
high-fiber-yogurt-parfait-for-breakfast,"High Fiber Yogurt Parfait for Breakfast","Single high-fiber yogurt parfait recipe",easy-high-fiber-breakfast-ideas-for-gut-health,low,"keep; add parent link when refreshed","Recipe intent is distinct from breakfast roundup"
high-fiber-bran-muffins-that-taste-good,"High Fiber Bran Muffins That Taste Good","High-fiber bran muffin recipe",easy-high-fiber-breakfast-ideas-for-gut-health,low,"keep; refresh recipe depth","Historical impressions are stale but suggest the recipe deserves improvement, not merging"
high-fiber-avocado-toast-variations,"Avocado Toast Variations With Beans & Seeds","High-fiber avocado toast variations",easy-high-fiber-breakfast-ideas-for-gut-health,low,"keep; add parent link when refreshed","Specific breakfast format"
gut-friendly-high-fiber-smoothies-for-daily-wellness,"Gut-Friendly Smoothie Blends for Daily Wellness","General high-fiber smoothie recipes",easy-high-fiber-breakfast-ideas-for-gut-health,medium,"rewrite; own adult smoothie roundup intent","Potential overlap with kids smoothie page; modifier and audience must stay explicit"
high-fiber-smoothies-for-kids-picky-eaters,"High Fiber Smoothies for Kids Picky Eaters","Kid-focused high-fiber smoothie recipes",gut-friendly-high-fiber-smoothies-for-daily-wellness,medium,"keep; differentiate by child audience and cautious claims","Audience modifier separates it from the adult smoothie roundup"
oatmeal-vs-grits-fiber-content,"Oatmeal Vs Grits Fiber Content","Oatmeal versus grits fiber comparison",easy-high-fiber-breakfast-ideas-for-gut-health,low,"keep; comparison spoke","Clear versus-query intent"
black-bean-brownies-hidden-fiber-dessert,"Black Bean Brownies Hidden Fiber Dessert","Black bean brownie recipe",how-to-eat-more-fiber-on-a-budget-complete-guide,low,"keep; recipe spoke","Distinct dessert recipe intent"
high-fiber-raspberry-jam-recipe-chia,"High Fiber Raspberry Jam Recipe Using Chia Seeds","Chia raspberry jam recipe",how-to-eat-more-fiber-on-a-budget-complete-guide,low,"keep; recipe spoke","Distinct jam recipe intent"
no-bake-high-fiber-energy-balls-recipe,"No-Bake Oat & Flax Energy Balls","No-bake oat and flax snack recipe",how-to-eat-more-fiber-on-a-budget-complete-guide,low,"keep; recipe spoke","Distinct snack recipe intent"
crispy-roasted-chickpeas-high-fiber-snack,"Crispy Roasted Chickpeas for Crunchy Snacking","Roasted chickpea snack recipe",how-to-eat-more-fiber-on-a-budget-complete-guide,low,"keep; recipe spoke","Distinct snack recipe intent"
high-fiber-popcorn-toppings-healthy,"High Fiber Popcorn Toppings Healthy","Popcorn topping ideas",popcorn-vs-potato-chips-fiber-comparison,medium,"keep; rewrite title and clarify topping intent","Related to popcorn comparison but serves recipe/idea intent"
popcorn-vs-potato-chips-fiber-comparison,"Popcorn Vs Potato Chips Fiber Comparison","Popcorn versus potato chips fiber comparison",how-to-eat-more-fiber-on-a-budget-complete-guide,medium,"keep as comparison winner","Distinct versus-query intent; can parent the topping page"
split-pea-soup-recipe-high-fiber,"How Much Fiber in a Cup of Split Pea Soup","Split pea soup recipe plus fiber amount",fiber-per-dollar-cheapest-high-fiber-foods,low,"keep; data-to-recipe spoke","Direct application of the top-ranked edible dry good"
lentil-curry-high-fiber-vegan-dinner,"Lentil Curry: A High Fiber Vegan Dinner You'll Actually Crave","Vegan lentil curry recipe",how-to-eat-more-fiber-on-a-budget-complete-guide,low,"keep; recipe spoke","Distinct dinner recipe intent"
quick-20-minute-high-fiber-meals-for-busy-days,"Quick 20 Minute Bean & Rice Meals for Busy Days","Fast high-fiber meal roundup",how-to-eat-more-fiber-on-a-budget-complete-guide,medium,"keep; narrow to 20-minute meal intent","Broad meal wording overlaps pillar unless speed and recipes remain explicit"
high-fiber-dinner-recipes-picky-kids,"High Fiber Dinner Recipes for Picky Kids","Kid-focused high-fiber dinner roundup",how-to-eat-more-fiber-on-a-budget-complete-guide,low,"keep; audience spoke","Distinct audience and meal intent"
high-fiber-stir-fry-vegetables,"What Veggies Are Good for a Stir Fry","Stir-fry vegetable selection with fiber angle",how-to-eat-more-fiber-on-a-budget-complete-guide,medium,"rewrite; align slug, title, and fiber intent","Current title is broader than slug and may compete outside the cluster"
high-fiber-cauliflower-rice-recipes,"High Fiber Cauliflower Rice Recipes Guide","Cauliflower rice recipe roundup",how-to-eat-more-fiber-on-a-budget-complete-guide,low,"keep; recipe roundup","Distinct ingredient/recipe intent"
pear-salad-with-walnuts-fiber-rich,"Pear Salad with Walnuts Fiber Rich Guide","Pear and walnut salad recipe",how-to-eat-more-fiber-on-a-budget-complete-guide,low,"rewrite; make recipe intent explicit","Current 'guide' wording is vague, but recipe intent is distinct"
tabbouleh-salad-high-fiber-bulgur,"Tabbouleh Salad High Fiber Bulgur Tips","Bulgur tabbouleh recipe",how-to-eat-more-fiber-on-a-budget-complete-guide,low,"rewrite; make recipe intent explicit","Distinct dish intent"
high-fiber-salad-dressings-homemade,"High Fiber Salad Dressings Homemade","Homemade dressing recipes with fiber ingredients",how-to-eat-more-fiber-on-a-budget-complete-guide,medium,"rewrite; verify fiber contribution per serving","Potential promise mismatch if dressings add trivial fiber"
high-fiber-pasta-alternatives,"Pasta Alternatives That Still Feel Like Dinner","High-fiber pasta alternatives roundup",how-to-eat-more-fiber-on-a-budget-complete-guide,medium,"keep as roundup parent","Can parent the direct pasta comparison without merging it"
whole-wheat-vs-white-pasta-fiber,"Whole Wheat Vs White Pasta Nutrition","Whole-wheat versus white pasta fiber comparison",high-fiber-pasta-alternatives,medium,"keep; sharpen fiber comparison intent","Versus intent is distinct from alternatives roundup"
comparing-fiber-content-different-pizza-crusts,"How Much Fiber Is in Pizza Crust? Every Crust Type Compared","Pizza crust fiber comparison",how-to-eat-more-fiber-on-a-budget-complete-guide,medium,"keep as pizza comparison parent","Historical impressions are stale but support preserving comparison utility"
high-fiber-pizza-crust-cauliflower,"High Fiber Pizza Crust Cauliflower","Cauliflower pizza crust recipe",comparing-fiber-content-different-pizza-crusts,medium,"rewrite; keep recipe intent","Potential wording overlap, but recipe versus comparison is separable"
high-fiber-gluten-free-bread-recipe,"The Only High Fiber Gluten Free Bread Recipe You Actually Need","High-fiber gluten-free bread recipe",how-to-eat-more-fiber-on-a-budget-complete-guide,low,"keep; soften absolute title on refresh","Distinct recipe intent; title violates cautious editorial positioning"
high-fiber-hummus-recipe-homemade,"High Fiber Hummus Recipe Homemade","Homemade hummus recipe",how-to-eat-more-fiber-on-a-budget-complete-guide,low,"keep; recipe spoke","Distinct recipe intent"
high-fiber-burrito-bowl-meal-prep,"High Fiber Burrito Bowl Meal Prep for a Better Work Lunch","Burrito bowl meal-prep recipe",high-fiber-meal-prep-ideas-for-busy-weeks-2026,low,"keep; recipe spoke","Specific meal-prep recipe"
high-fiber-quinoa-salad-for-lunch-prep,"Quinoa Lunch Salad That Stays Fresh","Quinoa salad meal-prep recipe",high-fiber-meal-prep-ideas-for-busy-weeks-2026,low,"keep; recipe spoke","Specific lunch-prep recipe"
high-fiber-meal-prep-ideas-for-busy-weeks-2026,"Meal Prep Bowls for Busy Weeks (2026)","General high-fiber meal-prep roundup",how-to-eat-more-fiber-on-a-budget-complete-guide,medium,"keep as meal-prep parent; remove year dependency on refresh","Overlaps vegan roundup unless general versus vegan scope is explicit"
vegan-high-fiber-meal-prep-for-week,"Vegan High Fiber Meal Prep for Week Guide","Vegan high-fiber weekly meal prep",high-fiber-meal-prep-ideas-for-busy-weeks-2026,medium,"keep; differentiate vegan weekly plan","Vegan modifier supports separate intent, but content must prove distinction"
high-protein-high-fiber-meals-for-weight-loss,"What Is a High Protein High Fiber Diet","Combined protein and fiber diet intent",high-protein-on-a-budget-complete-guide,medium,"keep under protein cluster; no B1 edit","Cross-cluster page; protein owner should review weight-loss framing"
high-protein-vs-high-fiber-satiety,"High Protein vs High Fiber for Satiety","Protein versus fiber satiety comparison",high-protein-on-a-budget-complete-guide,low,"keep under protein cluster; no B1 edit","Explicitly excluded from B1 and better owned by protein cluster"
