slug,cluster,evidence_source,gsc_impressions,gsc_best_position,current_weakness,cannibalization_risk,inbound_internal_links,visual_state,words,recommended_action,impact_score,confidence_score,effort_score,core_excluded
baking-sheet-liners-parchment-silicone-when-to-use,fiber,gsc-2026-06-29,37,17.7,slow_opener,low,2,hero_only,834,rewrite_opener_and_intent,10,0.9,1,False
cheap-crockpot-meals-large-families,budget,gsc-2026-06-29,29,8.0,slow_opener,cheap-chicken-casserole-meals-large-families(4),1,hero_only,805,rewrite_opener_and_intent,10,0.9,1,False
cooking-oils-smoke-points-best-uses,unassigned,gsc-2026-06-29,167,75.2,none,low,3,tables_only,802,strengthen_and_interlink,10,0.9,1,False
costco-rotisserie-chicken-meal-ideas-dinner,budget,gsc-2026-06-29,48,10.0,slow_opener;no_question_h2s,low,2,hero_only,809,rewrite_opener_and_intent,10,0.9,1,False
easy-sourdough-discard-recipes-beginners,protein,gsc-2026-06-29,46,8.6,slow_opener,low,1,tables_only,857,rewrite_opener_and_intent,10,0.9,1,False
oatmeal-vs-grits-fiber-content,fiber,gsc-2026-06-29,37,9.0,slow_opener;no_question_h2s,low,3,hero_only,883,rewrite_opener_and_intent,10,0.9,1,False
comparing-fiber-content-different-pizza-crusts,fiber,gsc-2026-06-29,87,7.0,none,high-fiber-pizza-crust-cauliflower(3),3,tables_only,1179,strengthen_and_interlink,10,0.9,2,False
good-source-of-fiber-label-meaning,fiber,gsc-2026-06-29,79,7.4,slow_opener,low,1,tables_only,1130,rewrite_opener_and_intent,10,0.9,2,False
gut-health-tea-peppermint-ginger,fiber,gsc-2026-06-29,54,9.6,slow_opener,low,2,hero_only,955,rewrite_opener_and_intent,10,0.9,2,False
healthy-alternatives-potato-chips-snacking,protein,gsc-2026-06-29,70,60.9,slow_opener;no_question_h2s,low,3,hero_only,967,rewrite_opener_and_intent,10,0.9,2,False
high-fiber-bran-muffins-that-taste-good,fiber,gsc-2026-06-29,134,66.2,slow_opener;hero_only_longform;no_tables,low,1,hero_only,1327,rewrite_opener_and_intent,10,0.9,2,False
high-fiber-fast-food-options-guide,fiber,gsc-2026-06-29,449,10.3,none,low,4,tables_only,1122,strengthen_and_interlink,10,0.9,2,False
how-to-double-recipe-seasoning-without-guessing,unassigned,gsc-2026-06-29,169,6.9,none,low,2,tables_only,984,strengthen_and_interlink,10,0.9,2,False
how-to-store-homemade-salad-dressing-safely,budget,gsc-2026-06-29,175,10.0,none,healthy-homemade-indian-salad-dressing-recipes(3),2,tables_only,1189,strengthen_and_interlink,10,0.9,2,False
popcorn-vs-potato-chips-fiber-comparison,fiber,gsc-2026-06-29,40,8.6,slow_opener;no_question_h2s,low,2,hero_only,963,rewrite_opener_and_intent,10,0.9,2,False
prebiotic-foods-beyond-the-buzzwords,fiber,gsc-2026-06-29,120,10.3,slow_opener;no_question_h2s;hero_only_longform,low,2,tables_only,1202,rewrite_opener_and_intent,10,0.9,2,False
selenium-containing-foods-easy-ways,fiber,gsc-2026-06-29,119,10.0,slow_opener,low,1,tables_only,940,rewrite_opener_and_intent,10,0.9,2,False
best-low-cost-protein-sources-large-families,budget,gsc-2026-06-29,84,7.7,slow_opener;no_question_h2s,low-cost-protein-meal-hacks-families(4),2,body_images,1705,skip_recent_core_page,10,0.9,3,True
how-to-keep-sandwiches-from-getting-soggy,protein,gsc-2026-06-29,27,20.1,slow_opener;no_question_h2s,low,1,hero_only,915,rewrite_opener_and_intent,9.8,0.9,2,False
protein-per-serving-beans-chicken-tofu-compared,protein,gsc-2026-06-29,24,20.8,none,low,3,hero_only,838,strengthen_and_interlink,9.3,0.9,1,False
prune-juice-alternatives-for-constipation,fiber,gsc-2026-06-29,20,4.3,slow_opener,low,1,hero_only,933,rewrite_opener_and_intent,8.7,0.9,2,False
high-fiber-pizza-crust-cauliflower,fiber,gsc-2026-06-29,19,7.5,slow_opener,comparing-fiber-content-different-pizza-crusts(3),2,hero_only,886,rewrite_opener_and_intent,8.5,0.9,1,False
