food,category,value,package,package_price_usd,price_basis
Whole wheat flour,Grains & pantry,96.0,5 lb bag,3.12,"Walmart GV (fiber study, audited)"
Brown lentils (dry),Dried beans & lentils,77.7,16 oz bag,1.44,"Walmart GV (fiber study, audited)"
Green split peas (dry),Dried beans & lentils,73.9,16 oz bag,1.42,"Walmart GV (fiber study, audited)"
Navy beans (dry),Dried beans & lentils,59.9,2 lb bag,3.38,BLS US avg July 2026 (APU0000714233)
Black beans (dry),Dried beans & lentils,58.0,2 lb bag,3.38,BLS US avg July 2026 (APU0000714233)
Pinto beans (dry),Dried beans & lentils,57.6,4 lb bag,6.75,BLS US avg July 2026 (APU0000714233)
Chickpeas (dry),Dried beans & lentils,56.7,16 oz bag,1.64,"Walmart (fiber study, audited)"
Red lentils (dry),Dried beans & lentils,56.0,16 oz bag,1.94,"Walmart (fiber study, audited)"
Whole wheat spaghetti,Grains & pantry,53.4,16 oz box,1.18,"Walmart GV (fiber study, audited)"
Peanut butter,Nuts & seeds,50.7,40 oz jar,4.97,"Walmart GV (fiber study, audited)"
Old-fashioned rolled oats,Grains & pantry,46.6,42 oz canister,3.36,"Walmart GV (fiber study, audited)"
"Spaghetti (regular, dry)",Grains & pantry,42.9,16 oz box,1.38,BLS US avg July 2026 (APU0000701322)
Dry roasted peanuts,Nuts & seeds,39.8,16 oz jar,2.78,"Walmart GV (fiber study, audited)"
Brown rice (dry),Grains & pantry,36.6,2 lb bag,1.87,"Walmart GV (fiber study, audited)"
Pearled barley (dry),Grains & pantry,36.3,16 oz bag,1.24,"Walmart GV (fiber study, audited)"
Sunflower seed kernels,Nuts & seeds,31.7,16 oz bag,2.98,"Walmart (fiber study, audited)"
Canned black beans,Canned beans,30.1,15.5 oz can,0.88,"Walmart GV (fiber study, audited)"
"White rice (long grain, dry)",Grains & pantry,29.4,5 lb bag,5.50,BLS US avg July 2026 (APU0000701312)
Canned kidney beans,Canned beans,23.4,15.5 oz can,0.98,"Walmart GV (fiber study, audited)"
"Canned tuna (chunk light, in water)",Fish (canned & frozen),22.4,5 oz can (113 g drained),0.98,Walmart GV Jul 2026
Canned chickpeas,Canned beans,22.0,15.5 oz can,0.98,"Walmart GV (fiber study, audited)"
Canned pink salmon,Fish (canned & frozen),21.6,14.75 oz can,3.8,Walmart GV Jul 2026
Quinoa (dry),Grains & pantry,21.5,2 lb bag,5.97,"Walmart GV (fiber study, audited)"
Frozen tilapia fillets,Fish (canned & frozen),20.9,4 lb bag,17.47,Walmart GV Jul 2026
"Sardines (canned in oil, drained)",Fish (canned & frozen),20.2,3.75 oz can (92 g drained),1.12,Walmart Jul 2026
100% whole wheat bread,Grains & pantry,20.1,20 oz loaf,3.52,BLS US avg May 2026 (APU0000702212)
Almonds,Nuts & seeds,14.8,16 oz bag,6.47,"Walmart GV (fiber study, audited)"
