slug,word_count,body_images,charts,cluster,parent,visual_type_recommended,priority_reason,effort
"quick-and-easy-stir-fry-sauce-recipes-no-bottled-stuff",2338,0,0,"","","table-to-chart","Longest hero-only article; a sauce matrix can turn multiple recipes into a scannable decision aid","medium"
"sheet-pan-breakfast-hash-with-eggs-and-sweet-potatoes",2079,0,0,"","","step-diagram","Long recipe needs a visual sequence for pan setup timing and doneness","medium"
"meal-prep-for-beginners-complete-system",2043,0,0,"","","step-diagram","Core system article needs a component-to-meal workflow readers can follow at a glance","medium"
"eat-healthy-on-a-budget-complete-playbook",2040,0,0,"","","chart","Strategic budget pillar contains cost claims that deserve a clear weekly allocation visual","medium"
"easy-weeknight-fish-tacos-with-cabbage-slaw",2036,0,0,"","","step-diagram","Long recipe benefits from assembly and timing guidance beyond the hero image","medium"
"quick-black-bean-and-corn-salsa-no-cooking-required",1971,0,0,"","","step-diagram","Very long no-cook recipe needs a compact prep texture and storage sequence","low"
"hearty-vegetarian-chili-with-three-beans-and-corn",1942,0,0,"","","step-diagram","Long batch recipe needs a staged cook and consistency guide","medium"
"high-protein-vegetarian-breakfast-burritos-you-can-freeze",1925,0,0,"","","step-diagram","Freezer recipe needs an assembly cooling wrapping and reheating sequence","medium"
"savory-oatmeal-bowls-with-eggs-and-avocado",1916,0,0,"","","photo","Multiple bowl variations need an in-body lineup that makes the options tangible","medium"
"quick-black-bean-burgers-that-hold-their-shape",1881,0,0,"","","step-diagram","Technique-sensitive recipe needs texture shaping and doneness checkpoints","medium"
"how-to-make-sourdough-pizza-dough-same-day",1665,0,0,"","","step-diagram","Time-dependent recipe needs a same-day fermentation timeline","medium"
"how-to-make-grocery-shopping-cheaper",1629,0,0,"","","step-diagram","Long savings guide needs a before-store in-store and after-store action flow","medium"
"how-to-properly-store-cooked-grains-for-meal-prep",1470,0,0,"","","step-diagram","Near-threshold food-safety guide needs a cool portion refrigerate or freeze flow","medium"
"black-bean-brownies-hidden-fiber-dessert",1444,0,0,"","","step-diagram","Texture-sensitive recipe needs batter and finished-crumb checkpoints","medium"
"easy-high-fiber-breakfast-ideas-for-gut-health",1435,0,0,"","","photo","Idea roundup needs a varied breakfast lineup to break up dense text","medium"
"easy-sandwich-bread-recipe-beginners",1422,0,0,"","","step-diagram","Beginner baking article needs dough rise shaping and crumb checkpoints","medium"
"how-much-protein-do-you-need-per-day",1353,0,0,"","","chart","Quantitative explainer needs a body-weight and life-stage comparison visual","medium"
"high-protein-high-fiber-meals-for-weight-loss",1327,0,0,"","","table-to-chart","Meal comparison topic can show protein and fiber together for faster selection","medium"
"fiber-rich-soup-for-weight-loss-cabbage",1325,0,0,"","","photo","Recipe needs an appetizing in-body serving image and ingredient context","low"
"split-pea-soup-recipe-high-fiber",1323,0,0,"","","step-diagram","Legume recipe benefits from consistency and cook-stage checkpoints","medium"
"high-fiber-bran-muffins-that-taste-good",1278,0,0,"","","step-diagram","Baking article needs mixing fill-level and finished-crumb checkpoints","medium"
"how-to-meal-prep-on-a-budget-for-one-person",1269,0,0,"","","step-diagram","Planning guide needs a one-person batch-to-week assembly workflow","medium"
"how-to-keep-bread-fresh-longer-without-mold",1266,0,0,"","","step-diagram","Storage advice needs a room-temperature freeze and thaw decision flow","low"
"high-fiber-salad-dressings-homemade",1254,0,0,"","","photo","Recipe collection needs a labeled visual lineup of dressing styles and textures","medium"
"high-fiber-cauliflower-rice-recipes",1242,0,0,"","","photo","Variation article needs multiple finished dishes to communicate range","medium"
"high-fiber-meals-for-constipation-relief",1236,0,0,"","","chart","Health explainer needs a gradual fiber and hydration progression visual","medium"
"chia-pudding-variations-for-breakfast",1230,0,0,"","","photo","Variation roundup is strongly visual and needs texture and topping examples","medium"
"budget-meal-ideas-philippines",1227,0,0,"","","photo","Meal roundup needs representative dishes so the options are easier to evaluate","medium"
"cheap-chicken-casserole-meals-large-families",1227,0,0,"","","photo","Family recipe roundup needs portion-scale and finished-dish context","medium"
"best-high-fiber-fruits-for-weight-loss-list",1222,0,0,"","","table-to-chart","Ranked fruit list is a natural comparison chart opportunity","low"
"prebiotic-foods-beyond-the-buzzwords",1162,0,0,"","","table-to-chart","Food explainer can convert its choices into a practical source-and-use comparison","low"
"how-to-store-homemade-salad-dressing-safely",1137,0,0,"","","step-diagram","Food-safety article needs a prepare label refrigerate and discard timeline","low"
