food,category,value,package,package_price_usd,price_basis
Whole wheat flour,Whole grains,77.8,5 lb bag,3.12,Walmart GV
Green split peas (dry),Dried beans & peas,71.0,16 oz bag,1.42,Walmart GV
Pinto beans (dry),Dried beans & peas,70.8,4 lb bag,3.97,Walmart GV
Black beans (dry),Dried beans & peas,58.1,2 lb bag,2.42,Walmart GV
Popcorn kernels,Whole grains,57.7,2 lb bag,2.28,Walmart GV
Pearled barley (dry),Whole grains,57.1,16 oz bag,1.24,Walmart GV
Navy beans (dry),Dried beans & peas,52.0,2 lb bag,2.67,Walmart GV
Old-fashioned rolled oats,Whole grains,35.8,42 oz canister,3.36,Walmart GV
Whole wheat spaghetti,Whole grains,35.4,16 oz box,1.18,Walmart GV
Chickpeas (dry),Dried beans & peas,33.8,16 oz bag,1.64,Walmart
Brown lentils (dry),Dried beans & peas,33.7,16 oz bag,1.44,Walmart GV
Chia seeds,Nuts & seeds,33.1,32 oz bag,9.44,Walmart GV
Bran flakes cereal,Whole grains,30.1,17.3 oz box,2.98,Walmart GV
Whole flaxseed,Nuts & seeds,28.5,22 oz bag,5.98,Walmart
Canned black beans,Canned,27.9,15.5 oz can,0.88,Walmart GV
